Team,FF,FR,FR TD
VikingsVikings,21,15,2
SeahawksSeahawks,21,16,3
JaguarsJaguars,20,15,1
ChiefsChiefs,20,13,1
PatriotsPatriots,20,13,0
DolphinsDolphins,19,17,2
SaintsSaints,19,15,1
OilersOilers,18,17,2
RedskinsRedskins,18,14,1
LionsLions,17,8,2
ColtsColts,17,13,2
GiantsGiants,17,17,0
JetsJets,17,7,0
SteelersSteelers,17,13,1
49ers49ers,17,16,2
BroncosBroncos,16,13,2
BearsBears,15,17,0
RaidersRaiders,15,12,2
FalconsFalcons,14,10,0
RavensRavens,14,11,0
BillsBills,13,7,0
EaglesEagles,13,12,1
PanthersPanthers,12,11,0
CowboysCowboys,12,12,2
RamsRams,12,14,1
BengalsBengals,11,10,1
BuccaneersBuccaneers,11,13,0
PackersPackers,10,11,3
CardinalsCardinals,9,5,0
ChargersChargers,9,11,2
