Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
PackersPackers,215,70,21,13,95,21.5,1002
DolphinsDolphins,234,89,16,9,72,15.6,1005
SaintsSaints,199,69,13,6,96,23.0,930
RavensRavens,208,60,23,9,59,16.1,936
VikingsVikings,215,74,13,7,53,15.2,977
BearsBears,239,74,16,10,77,19.2,1023
PatriotsPatriots,209,75,11,3,67,17.3,950
JetsJets,208,76,23,12,111,24.5,1020
SeahawksSeahawks,219,80,12,6,102,23.1,986
RamsRams,205,93,6,2,121,25.4,962
BuccaneersBuccaneers,217,82,12,5,108,21.7,1015
FalconsFalcons,207,87,10,4,97,22.0,994
ChiefsChiefs,212,83,13,8,109,23.6,999
JaguarsJaguars,227,83,14,4,94,22.4,978
SteelersSteelers,219,86,12,6,72,17.6,976
ChargersChargers,213,78,17,6,87,22.5,985
RaidersRaiders,221,79,19,10,107,19.7,986
CardinalsCardinals,201,83,15,7,114,24.9,1018
BroncosBroncos,221,81,14,5,97,21.7,1020
RedskinsRedskins,222,97,9,6,104,21.1,997
PanthersPanthers,222,70,14,11,96,21.4,990
BrownsBrowns,228,100,10,4,107,20.8,1041
EaglesEagles,222,83,21,10,126,25.8,1054
49ers49ers,216,96,14,7,107,22.6,1025
CowboysCowboys,212,93,16,8,88,20.5,974
TitansTitans,221,90,17,10,121,23.9,1062
GiantsGiants,226,97,24,9,106,23.1,1057
BengalsBengals,211,88,21,11,109,24.3,1038
BillsBills,216,79,17,11,117,24.6,1029
TexansTexans,198,88,11,5,115,25.8,979
LionsLions,207,90,5,4,111,22.6,1033
ColtsColts,191,90,14,11,150,28.9,959
