Team,INT,INT TD,INT Yds,Lng
SeahawksSeahawks,30,2,336,42
RamsRams,29,7,567,91
EaglesEagles,28,5,625,84
PackersPackers,26,1,137,60T
ChiefsChiefs,25,5,378,56
CowboysCowboys,24,4,442,95
JetsJets,24,3,443,98
RedskinsRedskins,24,3,375,88
RavensRavens,21,4,403,66
BuccaneersBuccaneers,21,2,355,55T
RaidersRaiders,20,1,247,36T
JaguarsJaguars,19,3,330,93
SaintsSaints,19,0,138,27
DolphinsDolphins,18,1,243,42
GiantsGiants,17,2,232,44
CardinalsCardinals,17,3,276,78
LionsLions,16,1,235,41T
TitansTitans,16,1,257,43T
PatriotsPatriots,16,2,110,57
PanthersPanthers,15,0,169,44
BroncosBroncos,15,1,169,45T
ChargersChargers,15,0,123,68
BearsBears,14,1,229,41T
SteelersSteelers,14,0,149,25
49ers49ers,13,2,209,64
FalconsFalcons,12,1,166,52T
BillsBills,12,0,180,52
BengalsBengals,12,1,100,58T
VikingsVikings,12,1,66,27T
ColtsColts,10,1,287,74T
BrownsBrowns,8,0,52,14
