Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
BillsBills,219,81,11,7,76,17.1,966
RavensRavens,211,72,19,4,59,16.3,924
JaguarsJaguars,203,74,8,4,85,19.5,934
PatriotsPatriots,237,103,10,9,108,21.8,1068
JetsJets,238,93,16,7,98,20.6,1033
GiantsGiants,219,78,18,2,62,17.3,988
SteelersSteelers,222,78,17,8,82,19.3,985
TitansTitans,221,68,12,1,62,16.0,908
BengalsBengals,239,102,13,4,101,20.0,1068
SaintsSaints,204,80,14,4,95,24.0,949
LionsLions,215,80,16,9,96,22.8,993
EaglesEagles,221,72,24,14,105,23.2,1055
BearsBears,223,82,17,12,106,22.6,1035
ChargersChargers,242,91,9,5,76,16.2,1061
BroncosBroncos,191,66,18,6,80,23.3,962
PackersPackers,224,82,11,7,84,20.1,1012
DolphinsDolphins,211,70,15,8,92,22.1,995
RedskinsRedskins,205,72,10,4,97,22.6,937
BrownsBrowns,227,98,17,11,147,24.8,1122
RaidersRaiders,205,81,14,4,85,22.2,1014
SeahawksSeahawks,201,89,7,1,126,25.0,1019
ChiefsChiefs,207,84,11,8,103,23.4,1041
49ers49ers,204,80,18,12,110,25.3,1031
ColtsColts,217,84,14,10,109,24.4,1018
CardinalsCardinals,222,105,15,10,149,25.8,1062
PanthersPanthers,208,90,19,6,107,25.1,1005
BuccaneersBuccaneers,225,74,20,12,84,21.1,1047
FalconsFalcons,198,71,18,11,113,24.9,999
CowboysCowboys,208,84,18,8,137,25.5,1021
VikingsVikings,202,92,14,4,110,27.8,1011
RamsRams,192,74,12,6,95,24.8,968
