Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
CardinalsCardinals,209,66,14,8,101,22.4,993
DolphinsDolphins,223,72,11,8,107,19.8,1009
RavensRavens,218,75,8,2,88,18.8,1009
BearsBears,220,67,15,4,109,22.0,1046
49ers49ers,206,83,9,6,121,24.4,1014
RedskinsRedskins,226,70,17,7,67,16.0,974
BengalsBengals,218,80,15,5,123,26.0,1031
SteelersSteelers,193,63,13,7,79,22.1,882
TitansTitans,186,62,12,9,99,23.5,977
JaguarsJaguars,205,84,10,5,83,19.0,972
BillsBills,214,77,15,11,79,17.7,978
CowboysCowboys,192,75,7,2,88,20.7,960
JetsJets,208,79,13,5,87,20.1,966
TexansTexans,205,89,6,1,89,21.3,971
RamsRams,209,76,17,12,118,24.6,1006
LionsLions,231,98,19,7,118,23.7,1071
SaintsSaints,210,80,7,6,118,24.3,1067
SeahawksSeahawks,229,97,9,6,102,22.6,1047
ChargersChargers,196,69,24,13,79,22.2,991
PackersPackers,197,69,9,5,92,22.5,967
PanthersPanthers,215,99,12,6,98,20.7,1021
BroncosBroncos,209,65,14,5,83,21.0,918
PatriotsPatriots,209,81,30,13,83,20.5,988
BrownsBrowns,216,78,16,7,141,26.5,1024
FalconsFalcons,200,72,16,10,107,24.6,999
RaidersRaiders,213,101,15,7,115,21.4,1072
BuccaneersBuccaneers,218,77,8,3,101,21.0,961
VikingsVikings,196,90,16,10,110,25.3,1018
EaglesEagles,229,82,19,9,101,22.8,1039
ChiefsChiefs,185,71,16,5,97,24.4,960
GiantsGiants,208,87,14,6,112,22.5,1005
ColtsColts,217,91,28,9,103,23.4,1042
