Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
CowboysCowboys,227,69,15,7,68,16.5,937
SaintsSaints,208,79,16,9,109,22.7,997
BearsBears,213,84,15,6,104,23.2,992
BengalsBengals,206,85,14,9,119,25.8,999
LionsLions,214,87,13,8,105,23.5,997
PatriotsPatriots,235,81,16,6,91,22.7,1060
SteelersSteelers,209,71,16,7,89,19.8,968
RavensRavens,235,69,17,5,78,17.4,1026
CardinalsCardinals,199,92,8,3,120,25.3,993
BuccaneersBuccaneers,214,68,18,7,89,19.7,962
PanthersPanthers,225,78,16,5,83,19.1,996
VikingsVikings,182,70,14,6,94,24.3,955
GiantsGiants,225,85,11,5,102,20.6,1060
ColtsColts,188,72,11,6,117,26.8,913
RaidersRaiders,215,80,14,8,127,23.4,1036
JaguarsJaguars,218,92,14,7,84,19.0,976
RamsRams,209,75,21,9,92,22.3,964
49ers49ers,209,85,12,7,99,23.6,976
RedskinsRedskins,209,84,11,8,122,24.2,1014
BillsBills,225,86,13,7,92,19.8,1010
BroncosBroncos,207,61,25,12,77,20.3,910
TitansTitans,184,51,18,11,79,23.1,926
PackersPackers,228,85,17,4,91,22.0,1036
JetsJets,207,84,22,10,134,24.7,1032
DolphinsDolphins,222,81,12,2,82,18.6,1014
SeahawksSeahawks,235,99,18,7,93,20.4,1069
TexansTexans,222,89,14,10,130,24.4,1054
BrownsBrowns,222,87,13,8,100,21.9,994
ChiefsChiefs,213,78,23,10,120,26.5,1054
ChargersChargers,231,97,18,10,124,23.9,1072
FalconsFalcons,216,86,14,5,122,24.4,1043
EaglesEagles,221,78,22,8,116,25.2,1058
