Team,INT,INT TD,INT Yds,Lng
BuccaneersBuccaneers,31,4,494,97
RavensRavens,25,2,449,98T
FalconsFalcons,24,1,285,41T
PackersPackers,24,4,516,89
RaidersRaiders,21,3,347,98
DolphinsDolphins,21,1,258,62T
SaintsSaints,20,1,211,43
CowboysCowboys,19,3,227,85
SteelersSteelers,19,1,351,84T
49ers49ers,19,1,332,60T
SeahawksSeahawks,19,1,245,46T
TitansTitans,18,3,198,32
ChiefsChiefs,18,0,302,50
PatriotsPatriots,18,3,277,90
PanthersPanthers,17,1,261,62
BrownsBrowns,17,0,148,71
CardinalsCardinals,17,2,186,38T
ChargersChargers,17,1,246,46
VikingsVikings,16,1,191,43T
JetsJets,15,0,207,65
EaglesEagles,15,2,193,80
JaguarsJaguars,14,0,193,53
RedskinsRedskins,14,1,173,78T
RamsRams,12,0,74,36
GiantsGiants,11,1,93,32T
BillsBills,10,1,147,42
LionsLions,10,1,173,49
TexansTexans,10,2,188,70T
ColtsColts,10,1,170,53T
BearsBears,9,0,111,35
BengalsBengals,9,2,187,102
BroncosBroncos,9,2,107,31T
