Team,INT,INT TD,INT Yds,Lng
SeahawksSeahawks,28,3,385,58
BillsBills,23,2,289,57
ChiefsChiefs,21,5,488,100
BuccaneersBuccaneers,21,3,338,85
PanthersPanthers,20,4,234,45
BengalsBengals,20,4,200,60
CardinalsCardinals,20,4,251,43
BearsBears,19,5,428,49
EaglesEagles,19,1,294,76T
DolphinsDolphins,18,2,204,94
NinersNiners,18,2,278,89
BroncosBroncos,17,1,141,75
PatriotsPatriots,17,2,220,79
GiantsGiants,17,2,270,91
RavensRavens,16,1,160,37
RedskinsRedskins,16,4,247,45
CowboysCowboys,15,2,257,74
LionsLions,15,1,211,66
ColtsColts,15,1,186,46
BrownsBrowns,14,3,274,44
RamsRams,14,2,256,98
TitansTitans,13,1,113,34
JetsJets,13,1,167,38
VikingsVikings,12,0,78,30
SaintsSaints,12,0,169,43
PackersPackers,11,0,36,11T
JaguarsJaguars,11,1,172,59T
ChargersChargers,11,1,143,41
FalconsFalcons,10,2,176,71
SteelersSteelers,10,3,203,40
RaidersRaiders,9,1,83,43
TexansTexans,7,1,86,32
