Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
RavensRavens,243,95,19,11,163,48.7,97,21.5,1056
CardinalsCardinals,239,91,16,5,224,53.5,58,16.1,1075
CowboysCowboys,232,94,13,7,177,59.0,97,18.6,1071
RedskinsRedskins,230,97,11,6,166,59.7,114,21.7,1037
GiantsGiants,227,90,13,6,172,58.5,106,22.6,1055
JaguarsJaguars,225,93,10,4,170,60.1,97,19.3,1020
DolphinsDolphins,225,79,15,6,159,54.6,93,21.0,1026
LionsLions,224,87,17,7,151,50.8,68,16.8,955
PackersPackers,221,91,19,9,206,53.8,76,19.1,1051
PatriotsPatriots,221,93,17,13,204,58.0,100,22.8,1031
BuccaneersBuccaneers,221,87,7,4,161,53.1,83,18.2,985
EaglesEagles,220,72,12,3,182,54.0,73,20.0,1027
FalconsFalcons,219,94,14,5,149,60.3,139,26.2,1021
TexansTexans,219,75,17,8,142,52.6,89,20.4,955
PanthersPanthers,218,92,6,2,157,58.4,82,16.8,964
TitansTitans,218,75,31,9,191,53.4,72,18.1,1022
BearsBears,215,62,16,7,111,50.7,98,20.1,937
RaidersRaiders,214,85,14,7,189,59.8,80,22.2,997
ChiefsChiefs,213,91,16,10,182,57.4,138,26.5,1059
RamsRams,211,77,21,14,209,53.3,82,21.6,1025
SaintsSaints,211,82,12,2,182,59.1,89,21.0,1017
BroncosBroncos,210,76,19,14,162,58.1,145,26.8,1030
ChargersChargers,208,88,17,11,191,56.5,116,25.0,1022
JetsJets,204,72,19,8,146,54.5,74,19.3,907
49ers49ers,204,49,8,5,96,47.1,70,16.4,865
BrownsBrowns,203,67,18,7,149,50.2,76,19.2,938
BillsBills,201,74,16,6,129,48.0,96,22.4,930
BengalsBengals,196,84,10,3,203,56.1,109,23.8,1018
VikingsVikings,196,64,9,4,169,52.3,83,21.8,945
SteelersSteelers,192,68,12,5,144,63.2,119,21.7,960
SeahawksSeahawks,192,76,8,7,192,62.5,142,27.4,1020
ColtsColts,187,91,13,8,217,62.5,116,25.0,1000
