Team,FF,FR,FR TD
49ers49ers,23,14,1
SteelersSteelers,22,17,2
SeahawksSeahawks,22,18,0
CowboysCowboys,21,13,1
DolphinsDolphins,20,16,0
BuccaneersBuccaneers,20,12,0
PanthersPanthers,19,16,3
BearsBears,19,11,2
RamsRams,19,13,0
SaintsSaints,18,10,1
BroncosBroncos,17,9,0
PackersPackers,17,12,0
OilersOilers,17,14,0
JaguarsJaguars,17,14,0
ChiefsChiefs,17,10,1
VikingsVikings,17,13,0
PatriotsPatriots,17,11,2
JetsJets,17,15,1
FalconsFalcons,16,17,0
LionsLions,16,8,1
RavensRavens,15,7,0
ColtsColts,15,10,0
GiantsGiants,15,13,1
EaglesEagles,15,12,3
ChargersChargers,15,14,0
RedskinsRedskins,15,9,1
BillsBills,13,14,1
BengalsBengals,10,10,1
RaidersRaiders,10,9,1
CardinalsCardinals,9,14,1
