Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
DolphinsDolphins,198,69,15,8,88,20.2,968
LionsLions,210,85,15,10,95,20.7,1029
BrownsBrowns,221,86,20,10,120,23.7,1072
JetsJets,219,69,19,7,87,20.7,953
BengalsBengals,210,81,15,7,95,23.8,980
ChiefsChiefs,223,85,11,6,122,23.0,1062
JaguarsJaguars,209,94,17,12,100,21.8,982
RamsRams,209,91,12,6,127,25.4,1016
SeahawksSeahawks,223,87,12,6,80,18.7,1024
VikingsVikings,200,69,12,5,63,17.6,940
PanthersPanthers,197,70,17,9,109,24.2,976
PackersPackers,211,76,25,10,68,18.3,948
NinersNiners,240,88,15,6,77,18.1,1050
BuccaneersBuccaneers,214,86,15,9,129,24.4,1039
BearsBears,226,93,13,6,105,22.5,1033
FalconsFalcons,214,97,17,8,89,20.6,997
RedskinsRedskins,219,87,17,4,85,18.9,1000
BroncosBroncos,218,81,16,8,99,21.6,1007
RavensRavens,218,80,17,7,82,18.8,991
TitansTitans,218,89,17,12,89,22.1,1038
RaidersRaiders,216,77,14,9,126,23.0,1023
GiantsGiants,199,77,19,12,103,24.4,953
EaglesEagles,221,73,30,17,81,19.6,1037
PatriotsPatriots,194,72,21,10,80,20.1,941
TexansTexans,201,79,21,9,91,23.0,974
SteelersSteelers,227,96,10,7,70,18.8,967
CowboysCowboys,200,70,12,6,74,20.3,979
BillsBills,240,97,26,14,134,25.0,1086
SaintsSaints,216,82,24,11,111,25.5,1044
ColtsColts,231,104,19,6,106,22.7,1084
CardinalsCardinals,232,82,24,12,81,20.2,1038
ChargersChargers,203,82,20,10,112,26.5,991
