Team,Rsh TD,Rec TD,Tot TD,2-PT
RamsRams,26,37,66,2
RaidersRaiders,23,28,57,1
BroncosBroncos,21,28,56,1
SteelersSteelers,19,12,33,1
JaguarsJaguars,18,22,40,0
BuccaneersBuccaneers,18,18,42,1
DolphinsDolphins,16,15,32,0
GiantsGiants,16,22,39,0
CowboysCowboys,15,14,31,0
LionsLions,15,14,33,3
49ers49ers,15,32,49,1
TitansTitans,14,18,37,0
ColtsColts,14,33,49,1
VikingsVikings,14,33,47,0
SaintsSaints,14,22,40,1
RedskinsRedskins,14,18,32,0
BengalsBengals,13,6,21,0
PackersPackers,13,21,36,0
EaglesEagles,13,21,38,0
ChiefsChiefs,12,29,44,0
BillsBills,11,20,34,1
JetsJets,11,23,36,0
SeahawksSeahawks,10,21,35,0
RavensRavens,9,20,32,1
PatriotsPatriots,9,18,28,1
PanthersPanthers,7,19,31,1
BrownsBrowns,7,9,17,0
ChargersChargers,7,19,31,0
FalconsFalcons,6,14,25,1
BearsBears,6,12,22,0
CardinalsCardinals,6,16,23,0
