Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
SteelersSteelers,572,2479,4.3,19,10,1,74T,154,26.9,12
OilersOilers,541,2414,4.5,17,16,1,47T,130,24.0,11
ChiefsChiefs,529,2171,4.1,15,8,1,43,129,24.4,8
49ers49ers,523,1969,3.8,16,9,2,51,106,20.3,9
GiantsGiants,521,1988,3.8,14,9,2,42T,113,21.7,10
BroncosBroncos,520,2378,4.6,18,8,2,50T,138,26.5,11
BearsBears,490,1746,3.6,14,5,2,68T,94,19.2,13
BuccaneersBuccaneers,479,1934,4.0,15,11,5,76T,88,18.4,13
EaglesEagles,465,1943,4.2,11,11,0,30,105,22.6,8
PackersPackers,459,1909,4.2,9,9,1,52T,103,22.4,7
JaguarsJaguars,454,1720,3.8,20,6,0,33T,103,22.7,7
RedskinsRedskins,454,1615,3.6,12,6,0,34,86,18.9,9
BengalsBengals,452,1966,4.4,23,12,4,79,104,23.0,5
ColtsColts,450,1727,3.8,10,9,1,45,109,24.2,11
VikingsVikings,449,2041,4.6,14,18,4,78T,96,21.4,4
LionsLions,447,2464,5.5,19,23,12,82T,120,26.8,10
RamsRams,443,1563,3.5,15,9,0,28T,85,19.2,19
FalconsFalcons,442,1643,3.7,8,8,3,77,88,19.9,16
PanthersPanthers,441,1770,4.0,11,7,1,50,91,20.6,10
JetsJets,431,1485,3.4,10,6,1,43T,97,22.5,7
DolphinsDolphins,430,1343,3.1,18,3,1,71T,87,20.2,9
CowboysCowboys,423,1637,3.9,6,5,1,44,82,19.4,5
BillsBills,422,1782,4.2,12,10,2,56T,98,23.2,12
RavensRavens,420,1589,3.8,7,2,0,25T,99,23.6,12
SaintsSaints,417,1461,3.5,9,5,2,74T,78,18.7,16
ChargersChargers,409,1416,3.5,5,5,0,32T,70,17.1,9
SeahawksSeahawks,404,1800,4.5,13,14,3,77,98,24.3,7
PatriotsPatriots,398,1464,3.7,6,9,1,70T,71,17.8,6
CardinalsCardinals,395,1255,3.2,9,1,0,31,79,20.0,7
RaidersRaiders,360,1588,4.4,9,11,8,83T,74,20.6,11
