Team,INT,INT TD,INT Yds,Lng
SaintsSaints,29,2,482,79
RedskinsRedskins,28,3,284,54
EaglesEagles,26,1,280,74T
BroncosBroncos,24,2,379,53
BillsBills,23,1,276,58
OilersOilers,20,2,255,52
FalconsFalcons,19,1,225,55
LionsLions,19,2,286,96
SteelersSteelers,19,2,329,57
ChargersChargers,19,1,227,71T
RaidersRaiders,18,0,155,31
JetsJets,18,2,283,83T
SeahawksSeahawks,18,2,302,43
BearsBears,17,1,225,39T
BengalsBengals,17,1,169,47T
VikingsVikings,17,2,242,97
CardinalsCardinals,17,1,187,35T
BrownsBrowns,15,3,260,42
PackersPackers,15,0,234,37
ColtsColts,15,0,202,37
ChiefsChiefs,15,0,216,83
CowboysCowboys,12,2,167,65
DolphinsDolphins,12,0,135,37
PatriotsPatriots,12,0,93,33
GiantsGiants,12,0,122,41
49ers49ers,12,0,125,42
RamsRams,11,1,175,59T
BuccaneersBuccaneers,11,0,63,18
