Team,FR TD,SFTY,INT TD
PanthersPanthers,3,2,0
EaglesEagles,3,1,1
BearsBears,2,1,1
PatriotsPatriots,2,1,2
SteelersSteelers,2,0,3
BillsBills,1,0,0
BengalsBengals,1,0,2
CowboysCowboys,1,0,0
LionsLions,1,0,2
ChiefsChiefs,1,1,0
RaidersRaiders,1,2,2
SaintsSaints,1,0,0
GiantsGiants,1,2,3
JetsJets,1,0,2
CardinalsCardinals,1,0,1
49ers49ers,1,4,1
RedskinsRedskins,1,0,1
FalconsFalcons,0,0,0
RavensRavens,0,0,1
BroncosBroncos,0,0,1
PackersPackers,0,1,3
OilersOilers,0,2,1
ColtsColts,0,1,4
JaguarsJaguars,0,0,0
RamsRams,0,1,4
DolphinsDolphins,0,1,3
VikingsVikings,0,0,1
ChargersChargers,0,0,1
SeahawksSeahawks,0,0,1
BuccaneersBuccaneers,0,0,0
