Team,Rsh TD,Rec TD,Tot TD,2-PT
49ers49ers,26,29,60,0
CowboysCowboys,20,18,41,0
PackersPackers,14,19,34,0
ChiefsChiefs,14,20,35,0
JetsJets,14,16,31,0
ChargersChargers,14,18,33,0
BroncosBroncos,13,27,42,0
SteelersSteelers,13,16,30,0
SeahawksSeahawks,13,13,27,0
BillsBills,12,20,36,0
CardinalsCardinals,12,21,35,0
OilersOilers,11,23,37,0
GiantsGiants,11,17,30,0
RedskinsRedskins,11,11,24,0
BearsBears,10,7,20,0
RaidersRaiders,10,17,29,0
DolphinsDolphins,10,27,40,0
SaintsSaints,10,18,31,0
LionsLions,9,15,26,0
PatriotsPatriots,9,17,26,0
BrownsBrowns,8,23,35,0
RamsRams,8,16,24,0
VikingsVikings,8,18,28,0
EaglesEagles,7,23,34,0
BuccaneersBuccaneers,6,19,27,0
FalconsFalcons,4,28,33,0
ColtsColts,4,10,14,0
BengalsBengals,3,11,16,0
