Team,FF,FR,FR TD
SeahawksSeahawks,27,18,2
FalconsFalcons,25,25,4
ChiefsChiefs,22,20,1
BuccaneersBuccaneers,21,14,0
ColtsColts,19,11,0
CardinalsCardinals,18,19,0
49ers49ers,18,12,0
CowboysCowboys,17,12,1
JaguarsJaguars,17,17,2
SaintsSaints,17,11,4
PanthersPanthers,16,14,0
BearsBears,16,14,1
RaidersRaiders,16,14,1
GiantsGiants,16,7,0
VikingsVikings,15,15,2
SteelersSteelers,15,13,0
BillsBills,14,13,1
BroncosBroncos,14,11,0
LionsLions,14,9,0
PackersPackers,14,10,2
DolphinsDolphins,14,7,0
JetsJets,12,9,2
BengalsBengals,11,7,1
OilersOilers,9,7,2
RamsRams,9,7,0
EaglesEagles,9,8,0
RavensRavens,8,5,0
PatriotsPatriots,8,7,0
ChargersChargers,8,7,0
RedskinsRedskins,8,7,0
