Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
PackersPackers,515,286,55.5,6.4,3309,25,23,169,32.8,46
LionsLions,511,339,66.3,6.9,3520,22,12,183,35.8,30
RamsRams,451,266,59.0,6.7,3035,21,17,164,36.4,34
DolphinsDolphins,497,279,56.1,6.0,3007,22,8,166,33.4,47
SaintsSaints,474,267,56.3,6.0,2854,26,11,148,31.2,38
ColtsColts,415,266,64.1,6.1,2548,16,15,150,36.1,25
CardinalsCardinals,522,321,61.5,7.1,3694,21,16,186,35.6,38
EaglesEagles,525,309,58.9,5.8,3067,17,19,154,29.3,40
VikingsVikings,599,355,59.3,6.4,3818,15,21,192,32.0,30
PanthersPanthers,500,291,58.2,6.0,3000,22,14,149,29.8,41
BuccaneersBuccaneers,493,301,61.0,6.8,3354,26,11,174,35.3,25
PatriotsPatriots,518,294,56.8,6.2,3203,10,22,164,31.7,44
RavensRavens,509,279,54.8,5.9,3011,16,28,151,29.7,60
BengalsBengals,555,349,62.9,6.9,3818,24,19,206,37.1,35
GiantsGiants,567,333,58.7,6.4,3649,21,17,189,33.3,32
SteelersSteelers,529,319,60.3,6.4,3393,21,20,176,33.3,39
BearsBears,581,328,56.4,5.4,3116,18,24,159,27.4,40
BrownsBrowns,499,283,56.7,6.5,3242,20,18,178,35.7,28
SeahawksSeahawks,504,299,59.3,6.5,3256,23,12,160,31.8,41
CowboysCowboys,511,301,58.9,6.9,3506,25,18,179,35.0,34
JetsJets,532,316,59.4,6.1,3222,19,16,181,34.0,35
RaidersRaiders,410,245,59.8,5.9,2413,17,18,137,33.4,34
TexansTexans,505,328,65.0,6.8,3444,22,11,174,34.5,28
RedskinsRedskins,486,289,59.5,7.2,3491,30,6,169,34.8,19
ChargersChargers,538,307,57.1,6.0,3212,19,16,178,33.1,61
BroncosBroncos,538,327,60.8,6.3,3410,13,17,183,34.0,35
ChiefsChiefs,506,314,62.1,6.6,3334,18,15,171,33.8,32
TitansTitans,530,335,63.2,6.8,3602,24,17,181,34.2,26
JaguarsJaguars,523,294,56.2,5.9,3078,12,20,143,27.3,35
49ers49ers,518,331,63.9,6.9,3571,25,14,189,36.5,34
BillsBills,513,324,63.2,5.9,3019,18,13,168,32.8,40
FalconsFalcons,515,321,62.3,7.1,3668,20,12,183,35.5,37
