Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
BroncosBroncos,488,2021,4.1,11,101,20.7
TexansTexans,378,1536,4.1,8,73,19.3
NinersNiners,353,1236,3.5,3,53,15.0
JaguarsJaguars,435,1667,3.8,14,73,16.8
ChiefsChiefs,508,2112,4.2,14,96,18.9
DolphinsDolphins,412,1530,3.7,8,88,21.4
RaidersRaiders,430,2178,5.1,15,105,24.4
RavensRavens,419,1482,3.5,10,79,18.8
BearsBears,384,1542,4.0,10,75,19.5
BengalsBengals,425,1675,3.9,14,94,22.1
FalconsFalcons,372,1552,4.2,10,87,23.4
EaglesEagles,414,1801,4.4,11,84,20.3
VikingsVikings,439,1712,3.9,10,92,21.0
PanthersPanthers,451,2093,4.6,18,110,24.4
SeahawksSeahawks,473,1797,3.8,10,96,20.3
JetsJets,451,1777,3.9,17,83,18.4
PatriotsPatriots,405,1874,4.6,13,101,24.9
ChargersChargers,448,1955,4.4,8,102,22.8
SteelersSteelers,399,1597,4.0,7,82,20.6
SaintsSaints,351,1738,5.0,11,92,26.2
BrownsBrowns,534,2359,4.4,12,124,23.2
GiantsGiants,435,1940,4.5,15,103,23.7
RamsRams,510,2433,4.8,17,122,23.9
CowboysCowboys,385,1585,4.1,10,78,20.3
RedskinsRedskins,438,1884,4.3,15,95,21.7
PackersPackers,383,1789,4.7,10,96,25.1
BillsBills,467,2224,4.8,19,120,25.7
CardinalsCardinals,475,1986,4.2,15,118,24.8
ColtsColts,540,2303,4.3,19,136,25.2
TitansTitans,461,2053,4.4,10,111,24.1
LionsLions,410,2050,5.0,10,91,22.2
BuccaneersBuccaneers,498,2497,5.0,26,135,27.1
