Team,FR TD,SFTY,INT TD
PackersPackers,3,0,3
SeahawksSeahawks,3,1,1
CowboysCowboys,2,0,1
BroncosBroncos,2,0,5
LionsLions,2,1,3
OilersOilers,2,0,2
ColtsColts,2,1,2
RaidersRaiders,2,1,1
DolphinsDolphins,2,0,0
VikingsVikings,2,0,0
ChargersChargers,2,0,3
49ers49ers,2,0,1
BengalsBengals,1,0,0
JaguarsJaguars,1,0,0
ChiefsChiefs,1,3,4
RamsRams,1,0,1
SaintsSaints,1,0,0
EaglesEagles,1,0,1
SteelersSteelers,1,0,0
RedskinsRedskins,1,0,3
FalconsFalcons,0,0,0
RavensRavens,0,1,1
BillsBills,0,1,0
PanthersPanthers,0,1,0
BearsBears,0,1,0
PatriotsPatriots,0,1,4
GiantsGiants,0,1,4
JetsJets,0,0,4
CardinalsCardinals,0,0,3
BuccaneersBuccaneers,0,0,0
