Team,Rsh TD,Rec TD,Tot TD,2-PT
PanthersPanthers,26,21,48,0
EaglesEagles,20,22,43,0
TexansTexans,18,20,41,0
VikingsVikings,18,20,39,0
PatriotsPatriots,18,39,60,2
GiantsGiants,17,29,46,4
RaidersRaiders,16,20,37,0
SaintsSaints,16,46,64,0
ChargersChargers,16,27,45,0
RavensRavens,15,21,38,1
SeahawksSeahawks,15,15,35,0
FalconsFalcons,14,29,45,0
JetsJets,14,26,45,0
NinersNiners,14,18,35,0
SteelersSteelers,13,21,35,0
BillsBills,12,24,41,1
PackersPackers,12,51,69,0
CardinalsCardinals,12,21,37,0
BroncosBroncos,11,20,36,3
DolphinsDolphins,11,20,33,0
BearsBears,10,18,36,1
BengalsBengals,10,21,33,0
LionsLions,9,41,55,0
JaguarsJaguars,9,12,22,0
BuccaneersBuccaneers,9,17,29,0
TitansTitans,8,22,34,0
ColtsColts,8,14,24,0
RedskinsRedskins,8,19,28,0
RamsRams,7,9,18,0
CowboysCowboys,5,33,39,0
ChiefsChiefs,5,13,20,0
BrownsBrowns,4,16,21,0
