Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
SaintsSaints,456,4952,10.9,33,52,10,69,258,56.6,8
FalconsFalcons,418,4758,11.4,28,61,9,79,233,55.7,7
SteelersSteelers,411,4997,12.2,33,56,15,94,243,59.1,5
ColtsColts,410,5062,12.4,42,78,15,80,250,61.0,6
BroncosBroncos,399,4779,12.0,40,67,11,86,227,56.9,4
BearsBears,396,4035,10.2,30,41,8,74,194,49.0,3
DolphinsDolphins,394,4066,10.3,27,41,4,50,226,57.4,7
PatriotsPatriots,392,4291,11.0,34,46,8,69,228,58.2,4
EaglesEagles,384,4581,11.9,27,63,13,72,218,56.8,5
GiantsGiants,383,4470,11.7,30,53,10,80,218,56.9,6
ChargersChargers,380,4296,11.3,31,57,9,59,214,56.3,4
LionsLions,365,4284,11.7,22,54,11,73,210,57.5,3
RaidersRaiders,365,3456,9.5,22,30,7,77,173,47.4,7
RedskinsRedskins,364,4461,12.3,18,57,20,81,186,51.1,6
BillsBills,363,3856,10.6,23,52,8,84T,186,51.2,8
PackersPackers,349,4447,12.7,38,59,15,80,222,63.6,1
RavensRavens,344,3986,11.6,27,50,7,80,194,56.4,4
CowboysCowboys,328,4008,12.2,37,54,12,68,205,62.5,4
PanthersPanthers,327,3828,11.7,23,43,4,51,199,60.9,3
RamsRams,327,3695,11.3,20,43,7,63,189,57.8,1
JaguarsJaguars,325,3451,10.6,15,43,9,63,154,47.4,2
BengalsBengals,323,3551,11.0,20,35,8,81,164,50.8,7
VikingsVikings,322,3566,11.1,17,43,7,87,171,53.1,3
ChiefsChiefs,320,3428,10.7,18,43,3,70,184,57.5,9
CardinalsCardinals,320,3990,12.5,21,58,11,81,191,59.7,5
BuccaneersBuccaneers,301,3623,12.0,21,51,9,56,162,53.8,5
TitansTitans,299,3738,12.5,20,50,7,80,158,52.8,4
TexansTexans,295,3460,11.7,22,49,9,76,171,58.0,6
NinersNiners,292,3407,11.7,20,49,5,80,165,56.5,2
JetsJets,287,3206,11.2,16,40,9,74,154,53.7,3
SeahawksSeahawks,287,3492,12.2,20,54,8,80,160,55.8,3
BrownsBrowns,274,3678,13.4,12,56,11,81,179,65.3,0
