Team,Rsh TD,Rec TD,Tot TD,2-PT
BillsBills,19,23,44,2
PanthersPanthers,19,35,59,0
ChiefsChiefs,19,20,43,2
BengalsBengals,18,31,50,1
VikingsVikings,18,14,37,1
RamsRams,16,11,29,1
SaintsSaints,16,32,50,1
CardinalsCardinals,16,35,56,0
SteelersSteelers,16,26,45,8
EaglesEagles,15,23,44,0
PatriotsPatriots,14,36,50,0
FalconsFalcons,13,21,36,1
BearsBears,13,21,34,2
BroncosBroncos,13,19,37,0
BuccaneersBuccaneers,12,22,35,1
DolphinsDolphins,11,24,39,2
JetsJets,11,33,44,0
TitansTitans,10,25,36,3
SeahawksSeahawks,10,34,46,1
RedskinsRedskins,9,30,43,2
RavensRavens,8,21,32,1
CowboysCowboys,8,16,26,1
PackersPackers,8,31,42,4
LionsLions,7,33,41,0
TexansTexans,7,29,38,2
RaidersRaiders,7,34,42,1
NinersNiners,7,16,24,1
ColtsColts,6,26,36,1
BrownsBrowns,5,20,28,2
JaguarsJaguars,5,35,42,1
GiantsGiants,5,36,45,1
ChargersChargers,4,30,35,2
