Team,Rsh TD,Rec TD,Tot TD,2-PT
RedskinsRedskins,21,30,56,0
LionsLions,19,16,39,0
49ers49ers,19,29,49,0
BearsBears,18,16,35,0
VikingsVikings,18,16,36,0
JetsJets,17,12,32,0
BillsBills,16,39,57,0
BroncosBroncos,16,13,31,0
OilersOilers,16,24,43,0
GiantsGiants,16,13,30,0
ChargersChargers,16,13,31,0
CowboysCowboys,15,16,36,0
SaintsSaints,15,20,38,0
ChiefsChiefs,14,19,33,0
BrownsBrowns,12,19,34,0
PackersPackers,12,17,30,0
BengalsBengals,11,14,27,0
RamsRams,11,13,25,0
SeahawksSeahawks,11,15,29,0
PatriotsPatriots,9,11,22,0
BuccaneersBuccaneers,9,13,22,0
RaidersRaiders,8,20,29,0
DolphinsDolphins,8,26,34,0
EaglesEagles,8,17,26,0
SteelersSteelers,8,20,32,0
FalconsFalcons,6,30,38,0
CardinalsCardinals,6,10,17,0
ColtsColts,3,10,14,0
