Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
DolphinsDolphins,530,2502,4.7,24,9,5,63T,139,26.2,13
FalconsFalcons,523,2368,4.5,23,17,5,59,123,23.5,10
SteelersSteelers,512,2120,4.1,15,14,2,42,119,23.2,8
TitansTitans,511,1952,3.8,16,6,0,39T,112,21.9,4
EaglesEagles,489,2220,4.5,15,16,3,57,124,25.4,11
49ers49ers,489,2244,4.6,16,12,1,40,141,28.8,6
GiantsGiants,486,1875,3.9,14,13,5,70T,95,19.6,14
VikingsVikings,473,2507,5.3,26,18,4,85T,139,29.4,13
ChargersChargers,466,2137,4.6,19,15,2,76,117,25.1,3
ChiefsChiefs,462,2378,5.2,26,16,1,56T,140,30.3,3
BroncosBroncos,457,2266,5.0,21,15,3,59,125,27.4,11
JaguarsJaguars,455,2089,4.6,19,17,3,63,105,23.1,5
PanthersPanthers,452,1586,3.5,11,7,1,59,82,18.1,9
PackersPackers,451,1933,4.3,12,9,2,43,94,20.8,9
RedskinsRedskins,442,1889,4.3,10,12,0,33T,107,24.2,9
ColtsColts,434,1561,3.6,12,6,1,49,93,21.4,5
SeahawksSeahawks,430,1740,4.0,17,13,4,58,104,24.2,6
RavensRavens,427,1792,4.2,9,12,1,75T,89,20.8,13
BengalsBengals,426,1730,4.1,13,7,1,67,105,24.6,7
SaintsSaints,426,1764,4.1,16,11,4,62T,91,21.4,8
TexansTexans,424,1347,3.2,6,4,0,37,59,13.9,17
CowboysCowboys,423,1754,4.2,7,9,1,46,87,20.6,6
RaidersRaiders,414,1762,4.3,21,11,0,36,113,27.3,4
CardinalsCardinals,414,1823,4.4,10,13,3,58,94,22.7,14
BuccaneersBuccaneers,414,1557,3.8,6,9,1,59,90,21.7,6
BrownsBrowns,406,1615,4.0,10,8,2,64,77,19.0,5
JetsJets,400,1618,4.0,12,8,1,61,86,21.5,5
PatriotsPatriots,395,1508,3.8,9,6,2,45,99,25.1,8
BillsBills,388,1596,4.1,17,10,0,34,90,23.2,14
BearsBears,382,1344,3.5,8,6,0,34,79,20.7,12
LionsLions,358,1477,4.1,9,14,2,56,69,19.3,5
RamsRams,343,1405,4.1,11,9,3,44T,76,22.2,7
