Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
BengalsBengals,236,82,14,7,145,47.8,80,19.0,984
RavensRavens,232,95,11,7,147,56.3,132,22.3,1058
BuccaneersBuccaneers,229,88,18,10,184,51.8,100,22.2,1045
EaglesEagles,225,93,9,4,204,56.4,94,22.0,1056
PackersPackers,224,99,18,8,182,53.1,98,22.4,1012
SteelersSteelers,224,92,12,3,179,59.1,93,20.2,1015
PatriotsPatriots,222,96,22,17,186,54.9,145,28.3,1095
FalconsFalcons,219,95,13,6,157,59.2,130,23.2,1011
BearsBears,219,78,14,6,153,50.3,98,22.6,991
VikingsVikings,218,86,18,9,150,56.2,119,22.9,1014
TitansTitans,216,78,11,5,143,54.0,108,21.3,973
RamsRams,216,69,23,11,140,48.0,95,22.8,982
RedskinsRedskins,216,76,16,10,165,51.9,109,22.8,1026
ChiefsChiefs,214,82,18,7,161,51.9,94,24.8,957
RaidersRaiders,214,61,21,9,123,55.4,87,19.0,919
JaguarsJaguars,213,87,24,14,182,54.3,106,24.9,1005
BrownsBrowns,212,72,14,6,127,53.4,84,20.5,921
CowboysCowboys,212,91,12,7,170,51.8,102,25.4,979
LionsLions,205,59,20,10,143,50.9,70,19.9,913
GiantsGiants,204,88,11,5,176,59.1,130,25.9,1021
BillsBills,203,81,16,7,167,54.0,107,24.4,956
ColtsColts,201,101,16,11,220,56.0,79,21.4,969
BroncosBroncos,200,95,10,4,223,57.8,103,26.6,1019
SaintsSaints,200,97,18,10,232,56.2,103,25.9,1047
CardinalsCardinals,198,83,16,8,231,55.3,72,21.2,998
NinersNiners,198,75,11,5,176,57.0,82,20.6,961
SeahawksSeahawks,198,62,12,10,142,54.2,103,24.7,927
TexansTexans,197,83,23,14,210,57.2,106,24.5,1019
JetsJets,197,81,16,9,186,53.6,94,22.3,981
PanthersPanthers,196,77,8,3,152,61.8,118,23.4,938
ChargersChargers,194,89,11,8,191,61.2,92,21.8,924
DolphinsDolphins,192,71,15,10,184,55.8,111,24.8,965
