Team,Rsh TD,Rec TD,Tot TD,2-PT
ChiefsChiefs,26,27,56,1
VikingsVikings,26,19,46,1
DolphinsDolphins,24,18,43,0
FalconsFalcons,23,18,43,0
BroncosBroncos,21,21,44,0
RaidersRaiders,21,26,53,0
JaguarsJaguars,19,18,38,1
ChargersChargers,19,17,37,0
BillsBills,17,24,43,0
SeahawksSeahawks,17,19,40,1
TitansTitans,16,22,41,2
SaintsSaints,16,27,47,2
49ers49ers,16,23,41,1
EaglesEagles,15,27,45,1
SteelersSteelers,15,26,43,0
GiantsGiants,14,19,34,0
BengalsBengals,13,17,33,0
PackersPackers,12,29,45,0
ColtsColts,12,27,40,1
JetsJets,12,25,41,1
PanthersPanthers,11,15,29,1
RamsRams,11,24,36,0
BrownsBrowns,10,27,40,1
CardinalsCardinals,10,18,31,0
RedskinsRedskins,10,24,36,0
RavensRavens,9,20,36,1
LionsLions,9,19,32,0
PatriotsPatriots,9,28,42,1
BearsBears,8,22,30,0
CowboysCowboys,7,14,26,0
TexansTexans,6,11,21,0
BuccaneersBuccaneers,6,23,34,0
