Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
OilersOilers,399,5072,12.7,37,70,9,87,251,62.9,0
49ers49ers,360,4371,12.1,28,47,9,78,201,55.8,0
RamsRams,310,4016,13.0,24,51,11,55,191,61.6,0
DolphinsDolphins,310,3611,11.6,21,37,5,69,190,61.3,9
BroncosBroncos,305,3671,12.0,15,48,8,66T,170,55.7,0
PackersPackers,302,3696,12.2,20,46,9,76,183,60.6,0
BrownsBrowns,301,3407,11.3,13,43,3,50,167,55.5,0
RedskinsRedskins,301,3611,12.0,22,37,9,53,193,64.1,0
FalconsFalcons,293,3726,12.7,21,45,12,75T,168,57.3,0
EaglesEagles,281,3582,12.8,34,41,8,95,170,60.5,0
PatriotsPatriots,274,3208,11.7,14,34,5,56,156,56.9,0
ColtsColts,269,3297,12.3,22,46,14,75,142,52.8,0
VikingsVikings,265,3445,13.0,25,37,8,78,164,61.9,0
SeahawksSeahawks,265,3194,12.0,15,41,8,63,154,58.1,0
BillsBills,263,3404,12.9,28,43,13,71,161,61.2,5
ChiefsChiefs,260,3458,13.3,23,40,14,90,153,58.8,0
CowboysCowboys,254,2898,11.4,12,34,7,61,135,53.2,0
JetsJets,246,3059,12.4,14,39,8,69,143,58.1,0
ChargersChargers,246,2840,11.5,18,43,2,45,142,57.7,0
BuccaneersBuccaneers,245,3282,13.4,18,40,8,89,142,58.0,0
LionsLions,242,3328,13.8,24,48,12,68,152,62.8,0
CardinalsCardinals,238,3118,13.1,16,49,8,68,135,56.7,0
BengalsBengals,237,3152,13.3,25,55,7,53,151,63.7,0
SteelersSteelers,237,2887,12.2,20,34,6,90T,150,63.3,0
GiantsGiants,231,2898,12.6,18,32,7,80,135,58.4,0
BearsBears,229,2827,12.3,14,33,7,80,134,58.5,0
SaintsSaints,226,2757,12.2,15,31,8,68,133,58.8,0
RaidersRaiders,183,2885,15.8,19,45,11,68,133,72.7,0
