Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
FalconsFalcons,0,0,0,0,79,19.1,981
BillsBills,0,0,0,0,105,21.7,981
BearsBears,0,0,0,0,91,23.3,927
BengalsBengals,0,0,0,0,117,26.5,1010
BrownsBrowns,0,0,0,0,117,22.9,987
CowboysCowboys,0,0,0,0,109,22.6,991
BroncosBroncos,0,0,0,0,110,24.1,968
LionsLions,0,0,0,0,142,26.7,1078
PackersPackers,0,0,0,0,113,23.8,982
OilersOilers,0,0,0,0,89,22.7,891
ColtsColts,0,0,0,0,130,25.3,1034
ChiefsChiefs,0,0,0,0,85,22.8,945
RamsRams,0,0,0,0,93,22.2,949
RaidersRaiders,0,0,0,0,95,21.6,924
DolphinsDolphins,0,0,0,0,110,23.9,968
VikingsVikings,0,0,0,0,107,21.3,972
PatriotsPatriots,0,0,0,0,151,26.7,972
SaintsSaints,0,0,0,0,91,22.2,986
GiantsGiants,0,0,0,0,90,23.2,914
JetsJets,0,0,0,0,112,26.5,977
EaglesEagles,0,0,0,0,59,17.5,948
CardinalsCardinals,0,0,0,0,140,26.9,959
SteelersSteelers,0,0,0,0,102,22.9,940
ChargersChargers,0,0,0,0,92,21.7,932
49ers49ers,0,0,0,0,77,21.8,921
SeahawksSeahawks,0,0,0,0,86,20.8,951
BuccaneersBuccaneers,0,0,0,0,130,26.2,1000
RedskinsRedskins,0,0,0,0,77,20.2,940
