Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
SteelersSteelers,549,2223,4.0,21,11,4,80T,119,21.7,10
BroncosBroncos,542,2539,4.7,25,17,5,68T,145,26.8,6
FalconsFalcons,531,2546,4.8,17,19,2,65,139,26.2,8
RedskinsRedskins,525,2183,4.2,15,10,3,52,114,21.7,10
CowboysCowboys,521,1861,3.6,13,7,2,51,97,18.6,16
ChiefsChiefs,520,2382,4.6,26,19,2,49,138,26.5,9
SeahawksSeahawks,519,2457,4.7,29,17,5,88,142,27.4,7
JaguarsJaguars,502,1959,3.9,18,12,2,71,97,19.3,2
BearsBears,488,2099,4.3,11,19,1,42,98,20.1,9
PanthersPanthers,487,1679,3.4,17,6,1,70,82,16.8,6
GiantsGiants,469,2209,4.7,17,18,7,95T,106,22.6,4
ColtsColts,465,1703,3.7,18,6,0,33,116,25.0,4
ChargersChargers,465,2072,4.5,22,11,3,83T,116,25.0,2
BengalsBengals,459,1910,4.2,15,7,0,33T,109,23.8,3
BuccaneersBuccaneers,457,1826,4.0,13,12,3,71T,83,18.2,5
RavensRavens,452,1605,3.6,5,6,1,52T,97,21.5,11
DolphinsDolphins,444,1898,4.3,11,10,3,65,93,21.0,10
PatriotsPatriots,439,1512,3.4,16,5,0,31,100,22.8,6
TexansTexans,437,1816,4.2,9,5,2,44,89,20.4,6
BillsBills,428,1607,3.8,6,8,0,39,96,22.4,8
49ers49ers,428,1689,4.0,9,11,3,73,70,16.4,8
SaintsSaints,423,1688,4.0,8,10,1,42,89,21.0,6
LionsLions,404,1471,3.6,10,4,2,77T,68,16.8,4
PackersPackers,398,1352,3.4,11,5,1,64T,76,19.1,10
TitansTitans,397,1525,3.8,8,7,0,38T,72,18.1,8
BrownsBrowns,395,1503,3.8,4,8,1,75,76,19.2,12
JetsJets,384,1328,3.5,10,4,2,49T,74,19.3,11
VikingsVikings,381,1467,3.8,10,8,1,61,83,21.8,8
RamsRams,380,1535,4.0,13,7,2,51,82,21.6,11
EaglesEagles,365,1432,3.9,11,8,2,59T,73,20.0,14
RaidersRaiders,361,1369,3.8,11,7,0,27T,80,22.2,5
CardinalsCardinals,360,1138,3.2,2,2,0,32,58,16.1,10
