Team,INT,INT TD,INT Yds,Lng
RavensRavens,26,5,477,107
BrownsBrowns,23,2,406,98T
BearsBears,22,1,312,50T
PackersPackers,22,6,685,99
BuccaneersBuccaneers,22,3,396,84
TitansTitans,20,3,351,99
SteelersSteelers,20,2,290,89
DolphinsDolphins,18,2,214,55
GiantsGiants,17,2,339,57
RaidersRaiders,16,0,145,44
ColtsColts,15,2,204,85
SaintsSaints,15,0,188,42
EaglesEagles,15,2,279,55
ChargersChargers,15,2,167,59
PatriotsPatriots,14,0,104,47
JetsJets,14,3,282,92
JaguarsJaguars,13,2,220,72T
ChiefsChiefs,13,2,275,91
CardinalsCardinals,13,2,321,99
RedskinsRedskins,13,0,114,42
PanthersPanthers,12,0,192,44
BengalsBengals,12,1,236,50T
TexansTexans,12,1,178,44T
RamsRams,12,0,162,43
VikingsVikings,12,0,56,28
NinersNiners,12,1,139,86T
FalconsFalcons,10,2,233,95
BillsBills,10,3,217,64
SeahawksSeahawks,9,2,217,75
CowboysCowboys,8,1,36,23T
BroncosBroncos,6,0,63,34
LionsLions,4,0,16,18
