Team,FR TD,SFTY,INT TD
FalconsFalcons,0,0,1
RavensRavens,0,2,5
BillsBills,0,0,2
PanthersPanthers,0,1,2
BearsBears,0,1,1
BengalsBengals,0,0,1
BrownsBrowns,0,0,1
CowboysCowboys,0,0,3
BroncosBroncos,0,0,2
LionsLions,0,1,1
PackersPackers,0,0,4
TitansTitans,0,0,2
TexansTexans,0,0,1
ColtsColts,0,0,0
JaguarsJaguars,0,0,1
ChiefsChiefs,0,0,0
RamsRams,0,0,1
RaidersRaiders,0,1,2
DolphinsDolphins,0,0,2
VikingsVikings,0,0,3
PatriotsPatriots,0,1,0
SaintsSaints,0,0,0
GiantsGiants,0,1,2
JetsJets,0,0,0
EaglesEagles,0,0,4
CardinalsCardinals,0,0,1
SteelersSteelers,0,0,2
ChargersChargers,0,0,0
49ers49ers,0,0,1
SeahawksSeahawks,0,0,1
BuccaneersBuccaneers,0,0,3
RedskinsRedskins,0,1,0
