Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
SteelersSteelers,222,83,20,5,94,22.7,996
RamsRams,209,74,21,9,91,23.4,989
Football TeamFootball Team,216,81,24,9,100,23.4,1004
ChargersChargers,204,89,15,10,112,26.2,997
FalconsFalcons,195,80,23,10,97,25.5,1034
EaglesEagles,211,80,18,7,98,20.4,1060
CowboysCowboys,209,98,21,10,142,27.8,1054
BengalsBengals,210,91,16,10,126,27.2,1021
BroncosBroncos,219,88,14,7,106,24.4,1043
SaintsSaints,207,79,30,16,85,21.8,992
RavensRavens,191,65,35,16,96,25.1,1017
JaguarsJaguars,198,86,18,12,140,27.1,1068
JetsJets,202,90,12,5,100,22.5,1081
BearsBears,210,80,22,13,104,23.7,1020
DolphinsDolphins,186,58,26,12,113,27.4,998
CardinalsCardinals,202,80,21,14,118,27.1,1054
RaidersRaiders,205,100,17,14,114,26.0,1039
GiantsGiants,204,91,18,11,115,26.6,1046
ColtsColts,203,86,14,6,94,24.1,992
49ers49ers,200,71,20,13,102,23.7,997
BrownsBrowns,205,90,27,22,116,28.2,1035
PanthersPanthers,199,98,10,6,114,27.9,1022
ChiefsChiefs,188,77,20,13,113,26.1,1022
TexansTexans,202,96,21,11,145,29.4,1068
LionsLions,193,91,18,11,127,26.1,1073
BuccaneersBuccaneers,205,82,25,14,78,21.8,1023
SeahawksSeahawks,223,105,23,10,97,24.7,1112
BillsBills,191,76,19,11,125,30.2,1025
PatriotsPatriots,186,76,16,9,131,28.2,982
TitansTitans,214,111,26,15,113,26.5,1076
VikingsVikings,185,73,24,17,136,28.8,1031
PackersPackers,185,73,24,14,119,30.0,974
