Team,FF,FR,FR TD
49ers49ers,23,15,2
SteelersSteelers,22,18,2
BuccaneersBuccaneers,21,15,4
VikingsVikings,19,14,1
CardinalsCardinals,19,10,0
SeahawksSeahawks,19,16,1
FalconsFalcons,17,8,1
BillsBills,16,9,0
LionsLions,16,11,1
RedskinsRedskins,16,9,0
RavensRavens,15,12,4
RamsRams,15,11,2
PatriotsPatriots,15,11,2
EaglesEagles,15,9,2
CowboysCowboys,14,10,1
TexansTexans,14,10,0
ColtsColts,14,8,0
JaguarsJaguars,13,8,1
ChiefsChiefs,13,7,2
BearsBears,12,9,0
BrownsBrowns,12,6,0
PackersPackers,12,7,0
TitansTitans,11,9,2
SaintsSaints,11,10,1
JetsJets,10,8,2
BengalsBengals,9,5,0
BroncosBroncos,9,6,1
RaidersRaiders,9,6,0
DolphinsDolphins,9,3,0
GiantsGiants,9,6,1
PanthersPanthers,8,7,1
ChargersChargers,6,3,0
