Team,INT,INT TD,INT Yds,Lng
OilersOilers,26,3,412,69
VikingsVikings,24,2,211,63
SteelersSteelers,24,1,386,78T
BillsBills,23,3,306,85
ChargersChargers,22,1,319,102T
SeahawksSeahawks,22,1,196,34T
ChiefsChiefs,21,0,225,48
EaglesEagles,20,4,324,94T
LionsLions,19,1,156,35T
JetsJets,19,1,233,62T
49ers49ers,19,3,267,67
BearsBears,18,2,300,80
BroncosBroncos,18,1,236,68T
PackersPackers,18,0,255,39
GiantsGiants,18,1,184,50T
RedskinsRedskins,17,2,241,69
CowboysCowboys,14,1,171,32T
RaidersRaiders,14,1,199,36T
FalconsFalcons,13,0,160,41
BrownsBrowns,13,1,208,97T
DolphinsDolphins,13,1,175,56T
PatriotsPatriots,13,0,122,40
BengalsBengals,12,2,272,97T
RamsRams,11,0,127,41
ColtsColts,10,0,116,29
SaintsSaints,10,0,133,37
CardinalsCardinals,9,1,124,46T
BuccaneersBuccaneers,9,2,71,28T
