Team,INT,INT TD,INT Yds,Lng
ChargersChargers,30,2,311,70
TitansTitans,22,2,358,76T
ColtsColts,22,1,355,83T
JaguarsJaguars,20,2,237,39
SeahawksSeahawks,20,1,299,84T
BengalsBengals,19,1,220,44T
CowboysCowboys,19,2,331,70T
PackersPackers,19,1,233,46T
PatriotsPatriots,19,3,288,65
BillsBills,18,2,193,38T
RamsRams,18,2,200,52
RaidersRaiders,18,2,321,66T
CardinalsCardinals,18,6,551,71
RavensRavens,17,1,212,35T
BrownsBrowns,17,1,216,100T
LionsLions,17,3,362,66
FalconsFalcons,16,0,174,33
BearsBears,16,1,235,85T
BuccaneersBuccaneers,16,1,89,29T
VikingsVikings,15,6,298,93
GiantsGiants,15,3,204,43
JetsJets,15,0,110,36
PanthersPanthers,14,1,163,73T
BroncosBroncos,14,0,105,37
ChiefsChiefs,14,0,142,37
DolphinsDolphins,14,1,160,36T
RedskinsRedskins,14,2,301,61
SaintsSaints,13,3,267,75
NinersNiners,12,0,138,62
TexansTexans,11,0,75,33
EaglesEagles,11,0,111,49
SteelersSteelers,11,2,234,51
