Team,Rsh TD,Rec TD,Tot TD,2-PT
SaintsSaints,26,33,60,4
RamsRams,23,32,59,5
RavensRavens,19,18,38,1
BroncosBroncos,18,19,39,0
PatriotsPatriots,18,29,50,0
PanthersPanthers,17,28,45,2
BearsBears,16,28,49,4
ChiefsChiefs,16,50,70,1
SteelersSteelers,16,35,53,4
ChargersChargers,16,32,50,6
BillsBills,15,13,29,1
BrownsBrowns,15,29,44,4
TitansTitans,15,16,34,0
SeahawksSeahawks,15,35,51,1
PackersPackers,14,25,41,3
BengalsBengals,13,27,43,1
CowboysCowboys,13,22,35,2
ColtsColts,13,39,52,4
GiantsGiants,13,23,39,4
TexansTexans,12,26,41,0
EaglesEagles,12,29,41,5
RedskinsRedskins,12,16,28,2
FalconsFalcons,11,36,48,2
LionsLions,11,22,35,0
JetsJets,11,18,34,0
BuccaneersBuccaneers,11,36,48,1
RaidersRaiders,9,19,30,1
VikingsVikings,9,30,40,3
CardinalsCardinals,9,15,25,2
JaguarsJaguars,7,15,25,0
DolphinsDolphins,7,26,38,1
49ers49ers,7,26,35,2
