Team,FF,FR,FR TD
RavensRavens,21,0,0
JaguarsJaguars,19,0,0
VikingsVikings,19,0,0
JetsJets,19,0,0
NinersNiners,19,0,0
BengalsBengals,18,0,0
LionsLions,17,0,0
SaintsSaints,17,0,0
RedskinsRedskins,17,0,0
RamsRams,16,0,0
BillsBills,15,0,0
BrownsBrowns,15,0,0
TitansTitans,15,0,0
BearsBears,14,0,0
ColtsColts,14,0,0
FalconsFalcons,13,0,0
CowboysCowboys,13,0,0
PackersPackers,13,0,0
TexansTexans,13,0,0
ChiefsChiefs,13,0,0
GiantsGiants,13,0,0
SeahawksSeahawks,13,0,0
BuccaneersBuccaneers,13,0,0
PanthersPanthers,12,0,0
CardinalsCardinals,12,0,0
BroncosBroncos,11,0,0
PatriotsPatriots,10,0,0
EaglesEagles,10,0,0
SteelersSteelers,10,0,0
DolphinsDolphins,9,0,0
RaidersRaiders,7,0,0
ChargersChargers,7,0,0
