Team,FF,FR,FR TD
BearsBears,27,0,0
DolphinsDolphins,27,0,0
ChiefsChiefs,23,0,0
BroncosBroncos,22,0,0
CowboysCowboys,21,0,0
CardinalsCardinals,21,0,0
ColtsColts,20,0,0
FalconsFalcons,19,0,0
RamsRams,19,0,0
EaglesEagles,19,0,0
BuccaneersBuccaneers,19,0,0
LionsLions,18,1,0
SeahawksSeahawks,18,0,0
GiantsGiants,17,0,0
ChargersChargers,17,0,0
49ers49ers,17,0,0
BillsBills,16,0,0
PackersPackers,16,0,0
PanthersPanthers,15,0,0
SaintsSaints,15,0,0
BengalsBengals,14,1,0
VikingsVikings,14,2,0
PatriotsPatriots,14,0,0
RavensRavens,13,0,0
TexansTexans,13,0,0
JetsJets,13,0,0
SteelersSteelers,13,1,0
RedskinsRedskins,12,0,0
TitansTitans,10,0,0
RaidersRaiders,9,1,0
BrownsBrowns,8,1,0
JaguarsJaguars,8,0,0
