Team,INT,INT TD,INT Yds,Lng
RavensRavens,28,5,544,60T
BearsBears,24,1,279,54T
PackersPackers,23,4,289,55
PatriotsPatriots,22,0,262,70
VikingsVikings,21,3,243,47
JaguarsJaguars,20,1,280,55T
SteelersSteelers,20,2,272,49
BengalsBengals,19,1,248,52T
EaglesEagles,19,4,428,102
BrownsBrowns,18,1,256,57T
CowboysCowboys,18,3,234,41
RaidersRaiders,18,2,206,100
BroncosBroncos,17,2,244,70
TitansTitans,17,2,282,83
RamsRams,17,1,164,38T
GiantsGiants,17,2,305,96
JetsJets,16,0,56,25
CardinalsCardinals,16,1,350,99T
ChargersChargers,16,0,140,35
ColtsColts,15,0,157,38
ChiefsChiefs,15,0,124,30
PanthersPanthers,14,2,115,30
49ers49ers,14,1,178,43
BillsBills,13,2,203,76
FalconsFalcons,12,1,257,60
LionsLions,12,1,160,88T
SeahawksSeahawks,12,1,124,37T
TexansTexans,11,1,78,21T
SaintsSaints,11,0,106,54
BuccaneersBuccaneers,11,3,226,66
DolphinsDolphins,8,2,116,51T
RedskinsRedskins,6,0,25,25
