Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
FalconsFalcons,442,1657,3.8,14,97,22.0
ChargersChargers,386,1613,4.2,13,87,22.5
JaguarsJaguars,420,1460,3.5,14,94,22.4
ChiefsChiefs,461,1928,4.2,14,109,23.6
BearsBears,402,1590,4.0,7,77,19.2
PatriotsPatriots,388,1507,3.9,11,67,17.3
JetsJets,453,2084,4.6,14,111,24.5
RedskinsRedskins,492,2197,4.5,9,104,21.1
BroncosBroncos,447,1813,4.1,13,97,21.7
SeahawksSeahawks,441,2029,4.6,12,102,23.1
RavensRavens,367,1214,3.3,5,59,16.1
CowboysCowboys,429,1659,3.9,12,88,20.5
SaintsSaints,418,2063,4.9,10,96,23.0
TitansTitans,506,2313,4.6,20,121,23.9
SteelersSteelers,408,1412,3.5,9,72,17.6
GiantsGiants,458,1830,4.0,19,106,23.1
VikingsVikings,348,985,2.8,9,53,15.2
ColtsColts,519,2768,5.3,20,150,28.9
49ers49ers,473,1936,4.1,18,107,22.6
BengalsBengals,448,1863,4.2,15,109,24.3
PackersPackers,441,1825,4.1,12,95,21.5
TexansTexans,446,1956,4.4,16,115,25.8
RamsRams,477,2327,4.9,21,121,25.4
PanthersPanthers,449,1737,3.9,10,96,21.4
BillsBills,476,2254,4.7,14,117,24.6
CardinalsCardinals,458,1897,4.1,16,114,24.9
EaglesEagles,489,2182,4.5,12,126,25.8
BuccaneersBuccaneers,497,1917,3.9,11,108,21.7
DolphinsDolphins,461,1618,3.5,7,72,15.6
RaidersRaiders,542,2144,4.0,15,107,19.7
BrownsBrowns,514,2275,4.4,14,107,20.8
LionsLions,492,2010,4.1,18,111,22.6
