Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
TexansTexans,420,1681,4.0,6,89,21.2
SeahawksSeahawks,380,1304,3.4,8,70,18.4
CowboysCowboys,392,1650,4.2,18,86,21.9
JetsJets,393,1489,3.8,10,74,18.8
BengalsBengals,439,1861,4.2,16,105,23.9
BrownsBrowns,500,2265,4.5,13,126,25.2
EaglesEagles,473,1771,3.7,14,88,18.6
PanthersPanthers,397,1792,4.5,14,91,22.9
NinersNiners,402,1612,4.0,7,83,20.6
GiantsGiants,438,2162,4.9,15,112,25.6
RavensRavens,390,1412,3.6,8,75,19.2
BroncosBroncos,349,1276,3.7,9,60,17.2
PatriotsPatriots,419,1669,4.0,6,88,21.0
PackersPackers,449,1919,4.3,11,116,25.8
SteelersSteelers,368,1605,4.4,9,88,23.9
ChiefsChiefs,433,2036,4.7,4,108,24.9
ColtsColts,423,1814,4.3,14,103,24.4
VikingsVikings,450,1943,4.3,10,100,22.2
SaintsSaints,442,2125,4.8,17,111,25.1
BillsBills,414,1703,4.1,10,89,21.5
RedskinsRedskins,421,1722,4.1,11,77,18.3
DolphinsDolphins,453,1937,4.3,13,99,21.8
ChargersChargers,438,1986,4.5,11,98,22.4
CardinalsCardinals,396,1739,4.4,9,77,19.4
LionsLions,350,1109,3.2,8,59,16.9
RamsRams,425,1765,4.2,12,83,19.5
FalconsFalcons,450,1894,4.2,21,108,24.0
JaguarsJaguars,499,2033,4.1,15,107,21.4
TitansTitans,515,2195,4.3,17,119,23.1
BearsBears,421,1803,4.3,12,78,18.5
BuccaneersBuccaneers,468,1819,3.9,15,103,22.0
RaidersRaiders,481,1911,4.0,17,95,19.8
