Team,FR TD,SFTY,INT TD
RavensRavens,4,1,2
BuccaneersBuccaneers,4,0,2
TitansTitans,2,1,1
ChiefsChiefs,2,0,1
RamsRams,2,1,2
PatriotsPatriots,2,1,3
JetsJets,2,2,3
EaglesEagles,2,0,1
SteelersSteelers,2,0,1
49ers49ers,2,0,3
FalconsFalcons,1,0,1
PanthersPanthers,1,2,0
CowboysCowboys,1,0,0
BroncosBroncos,1,0,0
LionsLions,1,0,0
JaguarsJaguars,1,0,1
VikingsVikings,1,1,1
SaintsSaints,1,1,2
GiantsGiants,1,1,1
SeahawksSeahawks,1,0,2
BillsBills,0,1,0
BearsBears,0,1,1
BengalsBengals,0,1,0
BrownsBrowns,0,0,1
PackersPackers,0,0,0
TexansTexans,0,0,2
ColtsColts,0,2,1
RaidersRaiders,0,0,2
DolphinsDolphins,0,1,1
CardinalsCardinals,0,0,0
ChargersChargers,0,0,0
RedskinsRedskins,0,0,0
