Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
49ers49ers,243,127,13,8,182,51.4,141,28.8,1082
EaglesEagles,231,90,16,8,164,51.6,124,25.4,1073
CardinalsCardinals,230,99,13,4,148,50.9,94,22.7,1003
TexansTexans,229,59,14,5,119,50.6,59,13.9,947
ColtsColts,227,102,17,13,213,54.3,93,21.4,1048
PackersPackers,225,87,13,7,197,54.6,94,20.8,1058
PanthersPanthers,224,64,12,4,133,52.2,82,18.1,960
SaintsSaints,224,92,13,8,169,58.1,91,21.4,1001
BengalsBengals,223,87,30,11,186,53.1,105,24.6,1054
SteelersSteelers,223,94,23,14,199,56.9,119,23.2,1097
BrownsBrowns,222,90,10,8,171,50.6,77,19.0,993
BuccaneersBuccaneers,222,79,9,6,172,49.4,90,21.7,1022
RedskinsRedskins,221,88,25,13,165,55.0,107,24.2,1039
PatriotsPatriots,220,94,20,9,184,49.2,99,25.1,1031
LionsLions,216,64,20,8,150,54.2,69,19.3,955
TitansTitans,216,94,16,9,182,59.5,112,21.9,1032
SeahawksSeahawks,216,93,21,6,208,57.6,104,24.2,1050
FalconsFalcons,215,90,10,6,163,60.8,123,23.5,1038
RavensRavens,215,81,13,7,145,55.3,89,20.8,947
GiantsGiants,213,84,14,5,195,57.7,95,19.6,1059
BillsBills,212,90,12,7,218,57.8,90,23.2,1054
BearsBears,210,71,21,10,156,50.3,79,20.7,969
ChargersChargers,210,78,12,4,166,51.2,117,25.1,1028
VikingsVikings,209,92,17,8,191,56.7,139,29.4,1080
CowboysCowboys,208,50,12,4,129,51.2,87,20.6,948
JaguarsJaguars,207,71,26,18,156,58.2,105,23.1,959
RamsRams,206,81,10,6,219,53.7,76,22.2,1024
RaidersRaiders,203,92,10,7,226,54.1,113,27.3,1069
BroncosBroncos,202,77,23,16,199,55.4,125,27.4,1057
DolphinsDolphins,199,76,10,3,155,57.2,139,26.2,1010
JetsJets,188,76,12,4,190,57.8,86,21.5,917
ChiefsChiefs,185,77,10,6,179,61.3,140,30.3,965
