Team,Rsh TD,Rec TD,Tot TD,2-PT
EaglesEagles,25,20,47,5
PatriotsPatriots,24,24,51,3
TitansTitans,23,22,48,2
CardinalsCardinals,23,27,51,0
ColtsColts,22,27,51,2
49ers49ers,22,26,50,2
BillsBills,20,36,57,3
BrownsBrowns,20,21,42,3
RavensRavens,18,21,41,2
ChargersChargers,18,38,57,7
SeahawksSeahawks,18,30,49,1
BuccaneersBuccaneers,18,43,63,1
PanthersPanthers,17,14,32,3
BengalsBengals,16,36,53,1
BroncosBroncos,16,20,37,1
ChiefsChiefs,16,37,55,2
CowboysCowboys,15,40,63,6
BearsBears,14,16,32,3
RaidersRaiders,14,23,37,0
JetsJets,14,20,36,4
PackersPackers,13,39,54,1
JaguarsJaguars,13,12,28,2
Football TeamFootball Team,13,21,37,2
LionsLions,12,23,35,5
DolphinsDolphins,12,21,37,2
SaintsSaints,12,29,43,0
FalconsFalcons,11,20,33,1
RamsRams,10,41,52,2
VikingsVikings,10,34,48,1
SteelersSteelers,10,23,34,2
TexansTexans,8,21,31,2
GiantsGiants,8,15,24,4
