Team,INT,INT TD,INT Yds,Lng
PackersPackers,31,4,468,76
PatriotsPatriots,23,2,296,38
NinersNiners,23,1,284,48T
SeahawksSeahawks,22,4,462,94
LionsLions,21,5,458,100
BillsBills,20,4,341,43
BearsBears,20,4,177,44
ChiefsChiefs,20,2,283,59
GiantsGiants,20,0,157,31
FalconsFalcons,19,2,301,50
JetsJets,19,2,378,100
RaidersRaiders,18,0,252,73
TexansTexans,17,1,196,42
JaguarsJaguars,17,0,160,30T
ChargersChargers,17,1,260,64
DolphinsDolphins,16,1,256,55
RavensRavens,15,1,175,73
CowboysCowboys,15,1,217,43
EaglesEagles,15,1,192,35T
PanthersPanthers,14,0,197,53
BuccaneersBuccaneers,14,3,195,43
RedskinsRedskins,13,1,127,30
RamsRams,12,1,169,51T
TitansTitans,11,1,179,97
SteelersSteelers,11,0,99,33T
BengalsBengals,10,1,137,75
CardinalsCardinals,10,0,117,49
BrownsBrowns,9,0,93,29T
BroncosBroncos,9,3,152,55
SaintsSaints,9,1,80,42
ColtsColts,8,2,118,32
VikingsVikings,8,0,152,52T
