Team,FR TD,SFTY,INT TD
BrownsBrowns,3,0,1
OilersOilers,3,1,1
SaintsSaints,3,0,3
BuccaneersBuccaneers,3,0,1
BengalsBengals,2,0,1
ChiefsChiefs,2,0,6
VikingsVikings,2,1,6
PatriotsPatriots,2,0,3
FalconsFalcons,1,0,0
BillsBills,1,1,2
BearsBears,1,0,0
CowboysCowboys,1,1,1
BroncosBroncos,1,0,1
LionsLions,1,0,0
PackersPackers,1,0,1
EaglesEagles,1,1,2
SteelersSteelers,1,0,1
49ers49ers,1,0,1
SeahawksSeahawks,1,0,0
RedskinsRedskins,1,0,2
ColtsColts,0,0,1
RamsRams,0,1,1
RaidersRaiders,0,1,1
DolphinsDolphins,0,0,3
GiantsGiants,0,0,1
JetsJets,0,1,3
CardinalsCardinals,0,1,3
ChargersChargers,0,3,1
