Team,Rsh TD,Rec TD,Tot TD,2-PT
SaintsSaints,30,28,59,0
TitansTitans,26,33,61,4
RavensRavens,24,27,52,2
CardinalsCardinals,22,27,49,0
BrownsBrowns,21,27,50,2
ColtsColts,20,24,50,3
RaidersRaiders,20,28,48,1
VikingsVikings,20,35,55,8
PatriotsPatriots,20,12,35,1
PanthersPanthers,19,16,35,1
RamsRams,19,20,42,1
49ers49ers,19,25,45,1
Football TeamFootball Team,18,16,36,0
LionsLions,17,27,45,2
BillsBills,16,40,59,0
PackersPackers,16,48,65,2
EaglesEagles,16,22,41,7
BuccaneersBuccaneers,16,42,59,0
DolphinsDolphins,15,24,40,4
SeahawksSeahawks,15,40,55,1
CowboysCowboys,14,25,40,4
FalconsFalcons,13,27,41,1
BengalsBengals,13,19,33,0
BroncosBroncos,13,21,35,2
ChiefsChiefs,13,40,57,3
GiantsGiants,13,12,26,2
BearsBears,12,26,39,2
SteelersSteelers,12,35,50,2
ChargersChargers,12,31,45,2
TexansTexans,10,33,44,1
JaguarsJaguars,9,25,37,3
JetsJets,9,16,26,1
