Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
BroncosBroncos,461,5572,12.1,55,68,13,78,293,63.6,4
SaintsSaints,446,5162,11.6,39,67,15,76,244,54.7,1
FalconsFalcons,445,4541,10.2,26,44,9,81,227,51.0,8
PatriotsPatriots,380,4343,11.4,25,49,8,81,225,59.2,2
BrownsBrowns,379,4372,11.5,26,52,14,95,200,52.8,2
ChargersChargers,378,4478,11.8,32,60,6,60,230,60.8,4
SteelersSteelers,377,4306,11.4,28,62,10,56,207,54.9,3
CowboysCowboys,375,4226,11.3,33,48,7,82,213,56.8,8
BearsBears,373,4450,11.9,32,53,11,80,215,57.6,5
LionsLions,371,4650,12.5,29,62,10,87T,221,59.6,4
TexansTexans,371,4183,11.3,19,53,9,66,198,53.4,5
PackersPackers,366,4538,12.4,25,65,11,83,201,54.9,3
BengalsBengals,364,4318,11.9,33,57,15,82T,205,56.3,6
RavensRavens,363,3914,10.8,19,45,14,74,189,52.1,1
CardinalsCardinals,363,4291,11.8,24,49,9,91,205,56.5,3
DolphinsDolphins,357,3966,11.1,24,47,11,67T,205,57.4,0
RedskinsRedskins,355,4057,11.4,20,39,6,62,198,55.8,5
ColtsColts,350,3952,11.3,23,45,10,73,191,54.6,2
JaguarsJaguars,349,3751,10.8,16,44,6,67,176,50.4,6
ChiefsChiefs,333,3561,10.7,24,45,7,71,179,53.8,5
TitansTitans,328,3710,11.3,22,48,10,77,172,52.4,4
VikingsVikings,325,3645,11.2,18,54,7,79,173,53.2,3
GiantsGiants,325,3875,11.9,18,54,7,70,176,54.2,4
EaglesEagles,310,4406,14.2,32,80,18,70,197,63.6,3
RamsRams,301,3360,11.2,22,41,5,81,165,54.8,3
BillsBills,299,3373,11.3,16,46,9,59,149,49.8,5
RaidersRaiders,298,3629,12.2,17,48,8,73,168,56.4,2
PanthersPanthers,292,3379,11.6,24,33,7,79,169,57.9,3
BuccaneersBuccaneers,291,3181,10.9,22,39,7,85,157,54.0,1
SeahawksSeahawks,267,3508,13.1,27,52,10,80,160,59.9,4
JetsJets,266,3270,12.3,13,47,6,69,154,57.9,1
NinersNiners,244,3210,13.2,21,46,10,64T,148,60.7,3
