Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
RavensRavens,545,350,64.2,6.9,3737,30,6,189,34.7,37
SaintsSaints,544,372,68.4,8.4,4544,45,9,223,41.0,31
ChargersChargers,510,328,64.3,7.4,3786,22,11,170,33.3,32
LionsLions,528,360,68.2,7.2,3786,27,9,191,36.2,43
PatriotsPatriots,596,361,60.6,6.5,3851,24,12,204,34.2,49
GiantsGiants,638,423,66.3,7.5,4783,31,15,236,37.0,23
EaglesEagles,633,394,62.2,6.8,4273,36,15,239,37.8,37
FalconsFalcons,561,370,66.0,6.9,3882,19,15,197,35.1,19
TexansTexans,553,326,59.0,6.1,3366,24,14,173,31.3,45
ColtsColts,585,354,60.5,7.0,4114,29,17,210,35.9,35
BrownsBrowns,511,322,63.0,7.8,4012,34,11,186,36.4,29
JaguarsJaguars,602,390,64.8,7.1,4291,29,9,222,36.9,36
BroncosBroncos,573,344,60.0,5.6,3193,19,14,162,28.3,52
RaidersRaiders,641,404,63.0,6.5,4140,25,14,206,32.1,38
JetsJets,601,343,57.1,6.3,3763,25,18,185,30.8,39
SteelersSteelers,625,402,64.3,7.0,4350,29,17,231,37.0,48
DolphinsDolphins,542,350,64.6,7.4,4000,31,13,203,37.4,31
PackersPackers,551,321,58.3,6.6,3642,20,16,183,33.2,43
CardinalsCardinals,573,343,59.9,6.4,3687,24,19,177,30.9,36
RedskinsRedskins,566,354,62.5,7.3,4128,30,11,202,35.7,38
TitansTitans,502,319,63.6,7.3,3678,34,11,192,38.2,39
BuccaneersBuccaneers,540,378,70.0,7.1,3840,31,11,208,38.5,38
CowboysCowboys,506,330,65.2,7.2,3632,19,8,172,34.0,31
NinersNiners,549,375,68.3,7.6,4179,21,9,199,36.2,28
BearsBears,512,322,62.9,7.0,3593,31,8,182,35.6,35
BengalsBengals,646,415,64.2,6.2,3976,18,21,202,31.3,42
PanthersPanthers,650,390,60.0,5.8,3752,21,24,198,30.5,44
SeahawksSeahawks,548,333,60.8,6.1,3364,14,14,175,31.9,37
ChiefsChiefs,607,349,57.5,6.1,3698,25,22,193,31.8,47
RamsRams,597,399,66.8,6.8,4065,21,13,192,32.2,41
BillsBills,602,347,57.6,6.6,3972,30,17,197,32.7,21
VikingsVikings,561,359,64.0,6.7,3759,24,13,189,33.7,43
