Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
FalconsFalcons,459,5049,11.0,29,52,5,93,258,56.2,3
SaintsSaints,418,4431,10.6,36,54,9,61,230,55.0,2
RamsRams,397,4669,11.8,22,73,6,66T,222,55.9,3
ChargersChargers,394,4648,11.8,24,57,12,84,220,55.8,4
EaglesEagles,391,4063,10.4,27,52,6,53,215,55.0,6
CowboysCowboys,388,4902,12.6,30,68,16,62,229,59.0,4
PanthersPanthers,382,4134,10.8,17,40,7,52T,230,60.2,2
BuccaneersBuccaneers,382,5127,13.4,33,75,13,71,244,63.9,3
ChiefsChiefs,378,4690,12.4,30,59,18,83,211,55.8,5
PatriotsPatriots,378,4153,11.0,25,62,6,59,197,52.1,4
GiantsGiants,376,4070,10.8,30,54,11,75,187,49.7,5
BearsBears,371,3573,9.6,20,39,2,53T,178,48.0,1
DolphinsDolphins,371,4117,11.1,22,49,7,51,210,56.6,7
RaidersRaiders,367,4110,11.2,22,54,9,75,194,52.9,4
JaguarsJaguars,364,4023,11.0,24,53,6,70T,183,50.3,1
BengalsBengals,356,3994,11.2,18,48,7,66,191,53.6,7
PackersPackers,356,4017,11.3,26,52,12,74,190,53.4,6
TexansTexans,355,4083,11.5,27,51,10,54,203,57.2,2
CardinalsCardinals,355,3797,10.7,20,49,10,88,176,49.6,4
LionsLions,344,4187,12.2,28,60,13,75,196,57.0,2
SeahawksSeahawks,341,4110,12.0,31,55,10,60,190,55.7,8
49ers49ers,331,4029,12.2,28,62,8,75,195,58.9,3
JetsJets,323,3443,10.7,19,44,6,92T,162,50.2,3
VikingsVikings,319,3729,11.7,26,53,11,66,171,53.6,6
BrownsBrowns,318,3847,12.1,22,58,9,89,180,56.6,2
SteelersSteelers,315,3214,10.2,18,37,8,79,147,46.7,7
BroncosBroncos,312,3401,10.9,16,46,10,75,162,51.9,4
ColtsColts,307,3314,10.8,22,38,3,50T,165,53.8,5
BillsBills,299,3476,11.6,21,54,8,53,162,54.2,0
RedskinsRedskins,298,3205,10.8,18,38,6,75,154,51.7,4
TitansTitans,297,3956,13.3,29,58,15,91,177,59.6,4
RavensRavens,289,3350,11.6,37,44,8,83,171,59.2,2
