Team,Rsh TD,Rec TD,Tot TD,2-PT
BengalsBengals,23,21,45,0
JaguarsJaguars,20,20,42,0
LionsLions,19,19,41,0
SteelersSteelers,19,22,43,0
BroncosBroncos,18,27,53,3
DolphinsDolphins,18,16,35,0
OilersOilers,17,15,34,1
49ers49ers,16,20,39,1
ChiefsChiefs,15,20,41,0
RamsRams,15,14,31,0
BuccaneersBuccaneers,15,21,38,0
BearsBears,14,14,28,2
VikingsVikings,14,26,40,3
GiantsGiants,14,16,35,0
SeahawksSeahawks,13,26,40,1
BillsBills,12,14,26,0
RedskinsRedskins,12,22,39,0
PanthersPanthers,11,17,28,1
EaglesEagles,11,22,35,0
ColtsColts,10,16,29,0
JetsJets,10,20,38,0
PackersPackers,9,35,47,0
RaidersRaiders,9,29,39,0
SaintsSaints,9,13,23,0
CardinalsCardinals,9,19,32,1
FalconsFalcons,8,26,36,0
RavensRavens,7,25,35,0
CowboysCowboys,6,19,27,0
PatriotsPatriots,6,31,42,0
ChargersChargers,5,12,25,0
