Team,FF,FR,FR TD
PanthersPanthers,22,15,0
BroncosBroncos,22,12,1
PatriotsPatriots,22,9,2
CardinalsCardinals,22,14,2
RedskinsRedskins,22,15,1
RamsRams,20,12,2
BuccaneersBuccaneers,19,12,2
SaintsSaints,18,13,1
GiantsGiants,18,12,2
EaglesEagles,18,11,1
SeahawksSeahawks,18,8,3
LionsLions,17,9,1
SteelersSteelers,16,13,0
JetsJets,15,12,0
BrownsBrowns,14,10,0
JaguarsJaguars,14,9,2
RaidersRaiders,14,10,0
ColtsColts,13,8,1
ChiefsChiefs,13,6,2
FalconsFalcons,12,8,2
PackersPackers,12,6,0
TexansTexans,12,11,1
TitansTitans,11,8,1
VikingsVikings,11,9,1
ChargersChargers,11,9,0
BengalsBengals,10,7,0
BillsBills,9,8,1
RavensRavens,8,8,1
DolphinsDolphins,8,3,0
BearsBears,6,9,0
CowboysCowboys,6,3,0
NinersNiners,5,3,0
