Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
SteelersSteelers,566,362,64.0,6.5,3697,27,8,200,35.3,52
ColtsColts,542,384,70.8,7.0,3805,21,15,203,37.4,38
PackersPackers,527,336,63.8,7.1,3752,30,7,199,37.8,44
BuccaneersBuccaneers,534,387,72.5,7.8,4151,34,9,209,39.1,38
FalconsFalcons,585,398,68.0,7.1,4153,33,15,226,38.6,37
VikingsVikings,503,315,62.6,6.2,3140,15,12,160,31.8,50
EaglesEagles,626,417,66.6,6.9,4308,22,10,215,34.4,44
BroncosBroncos,549,353,64.3,7.2,3929,26,17,197,35.9,44
ChiefsChiefs,632,406,64.2,6.9,4374,30,15,247,39.1,52
GiantsGiants,560,362,64.6,7.2,4044,24,16,205,36.6,30
BrownsBrowns,626,393,62.8,6.6,4125,21,17,216,34.5,37
LionsLions,496,323,65.1,7.3,3599,29,7,191,38.5,43
PatriotsPatriots,605,370,61.2,6.5,3943,29,18,208,34.4,30
RamsRams,533,347,65.1,7.1,3780,31,18,185,34.7,41
PanthersPanthers,529,353,66.7,7.3,3847,32,13,185,35.0,35
RavensRavens,577,337,58.4,5.8,3360,21,12,174,30.2,43
RaidersRaiders,480,299,62.3,8.0,3853,36,14,178,37.1,13
BengalsBengals,584,389,66.6,7.6,4414,32,12,221,37.8,34
JaguarsJaguars,499,312,62.5,6.2,3113,17,11,162,32.5,37
49ers49ers,542,344,63.5,6.9,3732,35,2,195,36.0,37
CowboysCowboys,542,367,67.7,6.9,3755,22,9,193,35.6,39
JetsJets,582,367,63.1,7.0,4065,29,13,201,34.5,39
SaintsSaints,573,384,67.0,7.5,4302,30,12,224,39.1,49
BearsBears,615,377,61.3,5.7,3515,22,27,186,30.2,50
ChargersChargers,548,351,64.0,6.6,3646,23,13,178,32.5,38
RedskinsRedskins,537,362,67.4,7.1,3794,27,15,197,36.7,46
TexansTexans,594,385,64.8,7.0,4167,28,15,200,33.7,43
BillsBills,492,313,63.6,5.8,2867,22,16,157,31.9,36
CardinalsCardinals,506,342,67.6,6.4,3262,21,7,186,36.8,49
DolphinsDolphins,508,335,65.9,7.7,3932,31,21,195,38.4,31
TitansTitans,533,337,63.2,6.5,3471,21,11,182,34.2,39
SeahawksSeahawks,546,355,65.0,7.0,3842,26,12,201,36.8,43
