Team,FF,FR,FR TD
BillsBills,30,17,1
DolphinsDolphins,24,8,2
FalconsFalcons,0,18,2
BearsBears,0,14,1
BengalsBengals,0,16,1
BrownsBrowns,0,9,1
CowboysCowboys,0,19,0
BroncosBroncos,0,15,1
LionsLions,0,18,2
PackersPackers,0,14,1
OilersOilers,0,12,1
ColtsColts,0,15,1
ChiefsChiefs,0,25,1
RamsRams,0,19,0
RaidersRaiders,0,9,2
VikingsVikings,0,11,2
PatriotsPatriots,0,18,1
SaintsSaints,0,19,0
GiantsGiants,0,11,1
JetsJets,0,11,1
EaglesEagles,0,11,1
CardinalsCardinals,0,11,0
SteelersSteelers,0,18,0
ChargersChargers,0,11,2
49ers49ers,0,14,0
SeahawksSeahawks,0,18,1
BuccaneersBuccaneers,0,17,0
RedskinsRedskins,0,12,1
