Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
GiantsGiants,560,2210,4.0,11,10,1,58T,127,22.7,8
BillsBills,550,1943,3.5,12,3,0,27,117,21.3,15
JetsJets,521,1880,3.6,14,6,1,57,106,20.4,12
PatriotsPatriots,502,1780,3.6,9,4,1,49,116,23.1,12
SteelersSteelers,491,2003,4.1,13,10,0,38T,116,23.6,12
CowboysCowboys,490,2161,4.4,20,12,3,62,120,24.5,15
BearsBears,477,1677,3.5,10,7,1,45,98,20.6,10
SeahawksSeahawks,473,2015,4.3,13,8,1,45T,114,24.1,13
BroncosBroncos,468,1693,3.6,13,2,0,26,105,22.4,9
49ers49ers,463,2133,4.6,26,11,4,50,134,28.9,12
LionsLions,456,1944,4.3,9,20,2,48,101,22.2,11
EaglesEagles,456,1761,3.9,7,8,0,35,104,22.8,8
ChargersChargers,455,1824,4.0,14,7,1,65,120,26.4,5
CardinalsCardinals,452,1809,4.0,12,6,1,57,107,23.7,10
RamsRams,449,2014,4.5,8,8,2,71T,117,26.1,7
PackersPackers,448,1619,3.6,14,9,1,60T,98,21.9,9
VikingsVikings,447,1624,3.6,8,4,0,31T,85,19.0,6
ChiefsChiefs,445,1655,3.7,14,5,1,47,94,21.1,13
RaidersRaiders,433,1425,3.3,10,0,0,19,95,21.9,10
BrownsBrowns,425,1701,4.0,8,10,2,55,91,21.4,12
BengalsBengals,423,1511,3.6,3,8,0,29,89,21.0,7
DolphinsDolphins,419,1459,3.5,10,6,1,77,85,20.3,8
SaintsSaints,414,1766,4.3,10,12,3,74,94,22.7,6
OilersOilers,409,1792,4.4,11,5,0,35T,101,24.7,16
BuccaneersBuccaneers,402,1290,3.2,6,2,0,22,80,19.9,8
RedskinsRedskins,396,1728,4.4,11,7,3,85,92,23.2,7
FalconsFalcons,395,1590,4.0,4,6,0,29,91,23.0,8
ColtsColts,365,1288,3.5,4,3,0,34,71,19.4,16
