Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
CardinalsCardinals,241,84,12,5,152,50.8,86,18.1,1047
DolphinsDolphins,232,80,16,8,165,53.4,71,18.5,1022
RavensRavens,231,81,15,4,135,52.3,102,20.8,991
BearsBears,223,56,19,6,121,48.6,84,19.5,967
49ers49ers,222,72,19,14,172,52.9,83,20.1,1026
RedskinsRedskins,221,70,11,4,156,54.2,91,19.3,1023
BengalsBengals,219,88,12,6,172,53.1,93,21.3,1004
SteelersSteelers,219,94,12,7,147,64.5,134,21.7,1012
TitansTitans,217,74,27,12,200,56.2,85,20.2,1053
JaguarsJaguars,217,80,18,10,161,52.8,88,19.7,991
BillsBills,215,77,21,10,149,56.9,102,21.1,982
CowboysCowboys,214,78,17,9,171,55.5,100,22.3,1004
JetsJets,214,91,8,4,163,57.8,135,25.6,996
TexansTexans,211,81,21,13,174,60.8,103,21.4,1001
RamsRams,211,89,19,13,202,54.3,96,25.2,1011
LionsLions,210,66,16,6,142,49.8,92,22.6,949
SaintsSaints,210,70,18,9,177,57.3,82,20.2,989
SeahawksSeahawks,210,76,11,6,189,62.2,110,23.5,1034
ChargersChargers,208,97,8,5,160,55.6,130,24.8,996
PackersPackers,207,98,14,8,228,59.7,97,22.0,1053
PanthersPanthers,206,83,8,3,192,61.7,85,20.1,991
BroncosBroncos,206,78,14,7,184,60.7,127,23.8,1070
PatriotsPatriots,206,93,10,4,193,65.9,120,22.9,1035
BrownsBrowns,203,59,16,7,125,49.8,94,21.3,921
FalconsFalcons,201,73,18,10,120,55.3,133,25.4,969
RaidersRaiders,200,71,14,7,176,53.3,75,22.9,939
BuccaneersBuccaneers,199,75,6,4,175,51.5,74,18.8,949
VikingsVikings,195,102,10,6,225,59.2,98,25.3,985
EaglesEagles,195,72,4,0,188,56.0,87,23.1,960
ChiefsChiefs,193,91,14,4,228,61.6,138,27.8,1089
GiantsGiants,190,56,19,4,143,53.2,105,24.8,951
ColtsColts,164,70,7,4,238,67.4,94,22.0,968
