Team,INT,INT TD,INT Yds,Lng
BengalsBengals,31,1,260,37T
BearsBears,24,4,524,95
VikingsVikings,24,3,392,92
PanthersPanthers,23,2,440,61
JetsJets,21,2,279,74
BroncosBroncos,20,3,379,80
LionsLions,19,2,308,64
JaguarsJaguars,19,2,184,41
ColtsColts,18,2,259,36
BillsBills,17,1,233,46T
GiantsGiants,17,1,354,71T
EaglesEagles,17,1,195,40T
BuccaneersBuccaneers,17,0,223,42
FalconsFalcons,16,0,268,65
ChiefsChiefs,16,1,232,57T
49ers49ers,16,3,220,61
SeahawksSeahawks,16,2,315,72
RedskinsRedskins,16,1,176,41
BrownsBrowns,15,0,130,37
CowboysCowboys,15,2,187,58
CardinalsCardinals,15,3,285,60
SteelersSteelers,15,0,179,55
DolphinsDolphins,14,0,136,37
RamsRams,13,2,364,85
RavensRavens,11,1,191,38
PackersPackers,10,2,205,95
PatriotsPatriots,10,2,85,39
SaintsSaints,10,0,182,51
ChargersChargers,10,2,205,70T
TitansTitans,9,2,129,52
TexansTexans,7,0,46,29
RaidersRaiders,5,0,38,33
