Team,FF,FR,FR TD
RavensRavens,25,11,3
FalconsFalcons,17,9,0
BrownsBrowns,17,10,0
JetsJets,17,8,0
CowboysCowboys,16,12,2
DolphinsDolphins,16,10,2
BillsBills,15,10,1
BearsBears,15,8,1
LionsLions,15,5,0
CardinalsCardinals,15,10,0
BuccaneersBuccaneers,15,10,0
PanthersPanthers,14,15,3
ColtsColts,14,10,0
GiantsGiants,14,11,1
EaglesEagles,14,10,1
SeahawksSeahawks,14,8,0
Football TeamFootball Team,14,7,1
ChiefsChiefs,13,5,0
SteelersSteelers,13,8,0
49ers49ers,13,8,0
BroncosBroncos,12,6,0
PackersPackers,12,7,1
TitansTitans,12,8,1
JaguarsJaguars,12,5,0
RamsRams,12,8,1
VikingsVikings,11,7,0
BengalsBengals,10,6,0
TexansTexans,9,6,0
RaidersRaiders,8,5,0
SaintsSaints,7,8,0
ChargersChargers,6,7,0
PatriotsPatriots,5,4,1
