Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
PatriotsPatriots,215,80,13,7,106,23.7,1034
PanthersPanthers,240,98,12,7,99,22.0,1072
VikingsVikings,224,93,11,7,75,21.3,1016
RamsRams,204,85,8,5,101,24.6,980
ChiefsChiefs,229,78,18,7,83,20.5,1047
EaglesEagles,220,84,17,12,102,21.9,1013
SteelersSteelers,202,68,13,8,67,18.1,943
PackersPackers,214,75,26,12,99,26.5,1029
BillsBills,244,84,23,13,93,20.5,1084
RedskinsRedskins,220,100,16,12,127,26.3,1059
OilersOilers,212,71,15,5,85,21.2,983
ChargersChargers,214,90,11,6,112,25.4,1020
SeahawksSeahawks,218,81,18,10,116,23.4,1078
SaintsSaints,222,97,13,8,107,22.8,1056
RaidersRaiders,210,69,17,6,90,20.2,1016
DolphinsDolphins,199,68,32,15,93,22.4,1000
LionsLions,200,76,16,10,110,26.9,1031
BearsBears,217,101,17,10,81,20.0,1035
BroncosBroncos,212,92,21,10,114,25.3,1010
BrownsBrowns,226,112,14,7,112,23.3,1082
GiantsGiants,213,89,21,14,120,24.0,1037
ColtsColts,212,85,14,7,92,22.0,1016
BengalsBengals,243,107,15,8,117,24.2,1127
JaguarsJaguars,222,107,16,10,121,24.0,1030
FalconsFalcons,231,95,28,18,96,23.8,1084
BuccaneersBuccaneers,211,93,7,4,104,23.2,1031
CowboysCowboys,216,97,19,8,113,25.6,1001
JetsJets,225,75,14,9,123,23.4,1066
49ers49ers,224,85,23,9,57,16.4,999
CardinalsCardinals,203,90,8,3,105,20.9,995
