Team,FR TD,SFTY,INT TD
EaglesEagles,4,0,1
RamsRams,3,1,2
RaidersRaiders,3,0,2
ChiefsChiefs,2,0,2
VikingsVikings,2,0,2
SteelersSteelers,2,0,3
ChargersChargers,2,1,1
SeahawksSeahawks,2,1,0
PanthersPanthers,1,0,2
BroncosBroncos,1,0,0
LionsLions,1,1,0
PackersPackers,1,0,0
ColtsColts,1,1,1
DolphinsDolphins,1,0,1
PatriotsPatriots,1,0,0
GiantsGiants,1,1,2
BuccaneersBuccaneers,1,0,1
RedskinsRedskins,1,1,2
FalconsFalcons,0,0,2
BillsBills,0,0,2
BearsBears,0,1,1
BengalsBengals,0,2,1
BrownsBrowns,0,0,2
CowboysCowboys,0,0,4
OilersOilers,0,1,4
JaguarsJaguars,0,0,1
SaintsSaints,0,0,1
JetsJets,0,1,3
CardinalsCardinals,0,0,4
49ers49ers,0,0,5
