Team,INT,INT TD,INT Yds,Lng
RavensRavens,18,0,178,53
ChiefsChiefs,18,4,271,55
ChargersChargers,18,3,292,90
PanthersPanthers,17,1,204,37
BengalsBengals,17,0,138,47
PackersPackers,17,0,209,44
GiantsGiants,17,1,174,44
BuccaneersBuccaneers,17,4,234,53
RaidersRaiders,16,1,147,40
DolphinsDolphins,16,1,186,60
EaglesEagles,16,3,207,64
BroncosBroncos,14,3,367,51
VikingsVikings,14,2,253,100
CardinalsCardinals,14,2,263,66
PatriotsPatriots,13,0,109,46
SteelersSteelers,13,0,133,58
RedskinsRedskins,13,0,186,79
FalconsFalcons,12,3,279,90
BillsBills,12,1,207,49
TitansTitans,12,0,68,33
TexansTexans,11,1,132,42
SeahawksSeahawks,11,0,72,31
BrownsBrowns,10,1,146,67T
LionsLions,10,1,96,39
RamsRams,10,0,71,29
49ers49ers,10,0,96,39
CowboysCowboys,9,0,75,27
SaintsSaints,9,0,109,30T
BearsBears,8,1,73,25
ColtsColts,8,0,100,56
JetsJets,8,0,141,51
JaguarsJaguars,7,1,104,35
