Team,FF,FR,FR TD
PatriotsPatriots,30,0,0
BearsBears,26,0,0
BillsBills,21,0,0
BroncosBroncos,19,0,0
ChargersChargers,18,0,0
SeahawksSeahawks,18,0,0
TexansTexans,17,0,0
PanthersPanthers,16,0,0
BengalsBengals,16,0,0
BrownsBrowns,16,0,0
VikingsVikings,16,0,0
GiantsGiants,16,0,0
FalconsFalcons,15,0,0
DolphinsDolphins,15,0,0
SteelersSteelers,15,0,0
NinersNiners,15,0,0
CowboysCowboys,14,0,0
ChiefsChiefs,14,0,0
JetsJets,14,0,0
TitansTitans,13,0,0
EaglesEagles,13,0,0
CardinalsCardinals,13,0,0
JaguarsJaguars,12,0,0
RamsRams,12,0,0
RedskinsRedskins,12,0,0
LionsLions,11,0,0
SaintsSaints,11,0,0
BuccaneersBuccaneers,11,0,0
RavensRavens,10,0,0
RaidersRaiders,9,0,0
PackersPackers,8,0,0
ColtsColts,6,0,0
