Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
BearsBears,391,1572,4.0,10,91,23.3
GiantsGiants,388,1459,3.8,9,90,23.2
EaglesEagles,337,1169,3.5,9,59,17.5
RedskinsRedskins,382,1587,4.2,8,77,20.2
ChiefsChiefs,373,1640,4.4,12,85,22.8
RaidersRaiders,439,1716,3.9,4,95,21.6
BengalsBengals,442,2085,4.7,15,117,26.5
ChargersChargers,424,1515,3.6,10,92,21.7
BillsBills,483,1808,3.7,13,105,21.7
JetsJets,423,2018,4.8,15,112,26.5
SaintsSaints,410,1559,3.8,8,91,22.2
BroncosBroncos,456,1963,4.3,16,110,24.1
SeahawksSeahawks,413,1605,3.9,7,86,20.8
SteelersSteelers,446,1615,3.6,13,102,22.9
VikingsVikings,503,2074,4.1,12,107,21.3
49ers49ers,353,1258,3.6,7,77,21.8
CardinalsCardinals,521,2318,4.4,20,140,26.9
RamsRams,418,1649,3.9,17,93,22.2
FalconsFalcons,413,1357,3.3,11,79,19.1
DolphinsDolphins,461,1831,4.0,11,110,23.9
BuccaneersBuccaneers,496,2223,4.5,20,130,26.2
CowboysCowboys,482,1976,4.1,18,109,22.6
PatriotsPatriots,565,2676,4.7,29,151,26.7
LionsLions,532,2388,4.5,22,142,26.7
PackersPackers,475,2059,4.3,16,113,23.8
BrownsBrowns,511,2105,4.1,21,117,22.9
ColtsColts,513,2212,4.3,12,130,25.3
OilersOilers,392,1575,4.0,12,89,22.7
